Ubicazione;Tipo via;Descrizione via;Civico;Codice via;ZD;Camere;Camere piano;Categoria;Insegna;Piani totali;Piano piano;Posti letto;Posti letto per piano;Tipo attività struture extra
VIA PORPORA NICOLA ANTONIO N. 87 (z.d. 3);VIA;PORPORA NICOLA ANTONIO;87;2229;3;18;;1;hotel ca  grande;;;21;;Albergo
VIA PORRO EDOARDO N. 8 (z.d. 9);VIA;PORRO EDOARDO;8;1226;9;13;13;3;hotel ares;;;21;21;Albergo
VIA PRATI GIOVANNI N. 6 (z.d. 8);VIA;PRATI GIOVANNI;6;7149;8;31;"1;10;10;10";3;hotel johnny;4;"T;1;2;3";69;"2;16;36;36";Albergo
VIA PRINCIPE EUGENIO N. 45 (z.d. 8);VIA;PRINCIPE EUGENIO;45;7223;8;10;;2;mary hotel fiera;;;25;;Albergo
VIA QUARNERO N. 4 (z.d. 7);VIA;QUARNERO;4;6263;7;11;"1;5;5";1;amalfi;3;"R;1;2";24;"3;8;9";Albergo
VIA RANCATI ILARIONE N. 3 (z.d. 2);VIA;RANCATI ILARIONE;3;2321;2;45;"9;9;9;9;9";3;residence loreto;5;"1;2;3;4;5";80;"16;16;16;16;16";Residence
VIA REINA FRANCESCO N. 18 (z.d. 4);VIA;REINA FRANCESCO;18;3255;4;11;11;1;san giovanni;;;20;20;Albergo
VIA RENZO E LUCIA N. 14 (z.d. 5);VIA;RENZO E LUCIA;14;5412;5;53;;3;hotel dei fiori;3;;108;;Albergo
VIA RICORDI GIOVANNI N. 10 (z.d. 3);VIA;RICORDI GIOVANNI;10;2251;3;23;;;HOTEL ADLER;;;47;;Albergo
VIA RICORDI GIOVANNI N. 10 (z.d. 3);VIA;RICORDI GIOVANNI;10;2251;3;23;"4;8;4;4;3";3;hotel adler;5;"T;1;2;3;4";43;"8;13;5;5;4";Albergo
VIA RICORDI GIOVANNI N. 14 (z.d. 3);VIA;RICORDI GIOVANNI;14;2251;3;9;;1;pensione cuba;;;14;;Albergo
VIA RICORDI GIOVANNI N. 20 (z.d. 3);VIA;RICORDI GIOVANNI;20;2251;3;15;"3;4;4;4";1;hotel malta;4;"R;1;2;3";24;"6;6;6;6";Albergo
VIA RIPAMONTI GIUSEPPE N. 102 (z.d. 5);VIA;RIPAMONTI GIUSEPPE;102;4066;5;18;0;2;apollo;;;40;0;Albergo
VIA RIPAMONTI GIUSEPPE N. 134 (z.d. 5);VIA;RIPAMONTI GIUSEPPE;134;4066;5;28;;2;hotel liguria;;;51;;Albergo
VIA ROSSI PELLEGRINO N. 59 (z.d. 9);VIA;ROSSI PELLEGRINO;59;1510;9;21;0;1;hotel salus;;;36;0;Albergo
VIA ROVELLO N. 10 (z.d. 1);VIA;ROVELLO;10;722;1;24;0;3;hotel giulio cesare;;;34;0;Albergo
VIA ROVELLO N. 3 (z.d. 1);VIA;ROVELLO;3;722;1;29;"10;10;9";2;hotel london;3;"1;2;3";49;"12;12;9";Albergo
VIA RUBENS PIETRO N. 21 (z.d. 7);VIA;RUBENS PIETRO;21;6597;7;87;"19;11";4;hotel rubens;5;"1;2;3;4;5";150;"29;25";Albergo
VIA RUTILIA N. 6 (z.d. 5);VIA;RUTILIA;6;4229;5;23;"9;14";2;hotel garden;2;"R;1";48;"13;27";Albergo
VIA SACCHINI ANTONIO GASPARE N. 17 (z.d. 3);VIA;SACCHINI ANTONIO GASPARE;17;2252;3;18;"3;7;6";2;sara;3;"T;1;2";36;"3;12;10";Albergo
VIA SACCHINI ANTONIO GASPARE N. 19 (z.d. 3);VIA;SACCHINI ANTONIO GASPARE;19;2252;3;10;"1;5;4";1;villa mira;3;"T;1;2";18;"2;8;8";Albergo
VIA SALDINI CESARE N. 24 (z.d. 3);VIA;SALDINI CESARE;24;3206;3;45;;3;hotel citta  studi;;;79;;Albergo
"VIA SAMMARTINI GIOVANNI BATTISTA N. 15 1ø piano; (z.d. 2)";VIA;SAMMARTINI GIOVANNI BATTISTA;15;1202;2;17;17;1;hotel central station;1;1;25;25;Albergo
VIA SAMMARTINI GIOVANNI BATTISTA N. 15 (z.d. 2);VIA;SAMMARTINI GIOVANNI BATTISTA;15;1202;2;18;0;2;hotel ada;1;;25;0;Albergo
VIA SANGIORGIO ABBONDIO N. 16 (z.d. 1);VIA;SANGIORGIO ABBONDIO;16;7138;1;30;0;3;hotel lancaster;;;65;0;Albergo
VIA SAN MAMETE N. 12 (z.d. 2);VIA;SAN MAMETE;12;2413;2;13;13;1;hotel convertini;1;1;28;28;Albergo
VIA SAN RAFFAELE N. 3 (z.d. 1);VIA;SAN RAFFAELE;3;207;1;64;0;4;straf;;;118;0;Albergo
"VIA SAN RAFFAELE N. 6 via san raffaele 7/9; (z.d. 1)";VIA;SAN RAFFAELE;6;207;1;21;0;5;the gray;;;32;0;Albergo
VIA SANTA MARIA FULCORINA N. 15 (z.d. 1);VIA;SANTA MARIA FULCORINA;15;630;1;25;"7;7;7;4";3;hotel nuovo biscione;4;"1;2;3;4";34;"10;10;10;4";Albergo
VIA SANTA RADEGONDA N. 14 (z.d. 1)VIA PELLICO SILVIO N. 8 (z.d. 1);;;;;;18;0;l;town house galleria;;;25;0;Albergo
VIA SANTA SOFIA N. 10 (z.d. 1);VIA;SANTA SOFIA;10;408;1;158;;4;UPTOWN PALACE;;;318;;Albergo
VIA SANTA SOFIA N. 16 (z.d. 1);VIA;SANTA SOFIA;16;408;1;35;0;3;hotel canada;;;78;0;Albergo
VIA SAN TOMASO N. 8 Int. a (z.d. 1);VIA;SAN TOMASO;8;723;1;11;;4;;;;22;;Albergo
VIA SARONNO N. 5 (z.d. 8);VIA;SARONNO;5;7202;8;15;"4;4;4;2";1;hotel mignon;4;"1;2;3;4";24;"6;6;6;2";Albergo
VIA SCARLATTI DOMENICO N. 22 (z.d. 3);VIA;SCARLATTI DOMENICO;22;2136;3;104;;3;hotel cristallo;;;223;;Albergo
VIA SCARLATTI DOMENICO N. 24 (z.d. 2);VIA;SCARLATTI DOMENICO;24;2136;2;78;"3;22;21;22;22";4;andreola;5;"T;1;2;3;4";155;"4;34;34;33;33";Albergo
VIA SCARLATTI DOMENICO N. 32 (z.d. 2);VIA;SCARLATTI DOMENICO;32;2136;2;68;;4;hotel bristol;;;116;;Albergo
VIA SCARLATTI DOMENICO N. 33 (z.d. 2);VIA;SCARLATTI DOMENICO;33;2136;2;305;"10;37;25;25;27;27;14;14;14;14";4;hotel michelangelo;17;"1;2;3;4;5;6;7;8;9;0";538;"15;68;33;40;48;48;26;26;26;26";Albergo
VIA SCIALOIA VITTORIO N. 3 (z.d. 9);VIA;SCIALOIA VITTORIO;3;1086;9;60;0;3;hotel la residenza;;;100;0;Albergo
VIA SENATO N. 5 (z.d. 1);VIA;SENATO;5;236;1;93;0;5;carlton hotel baglioni;;;186;0;Albergo
VIA SENIGALLIA N. 6 (z.d. 9);VIA;SENIGALLIA;6;1708;9;298;"40;0;40;40;40;63;56;56;28";4;leonardo da vinci;8;"1;;2;3;4;5;6;7;8";864;"118;0;118;118;118;130;130;130;64";Albergo
VIA SENIGALLIA N. 6 (z.d. 9);VIA;SENIGALLIA;6;1708;9;423;;4;il leonardo da vinci;;;922;;Residence
VIA SETTALA LODOVICO N. 56 (z.d. 3);VIA;SETTALA LODOVICO;56;2111;3;7;"1;4;2";1;hotel da xin;3;"T;1;2";11;"2;6;3";Albergo
VIA SETTALA LODOVICO N. 76 (z.d. 3);VIA;SETTALA LODOVICO;76;2111;3;20;"3;4";2;hotel charly;3;"T;1;2";34;"6;8;4";Albergo
VIA SFORZA ASCANIO N. 73 (z.d. 5);VIA;SFORZA ASCANIO;73;5201;5;15;"3;12";2;hotel mercurio;2;"R;1";25;"6;19";Albergo
VIA SFORZA ASCANIO N. 81 (z.d. 5);VIA;SFORZA ASCANIO;81;5201;5;15;;2;albergo marte;;;25;;Albergo
VIA SIGIERI GOFFREDO N. 3 (z.d. 4);VIA;SIGIERI GOFFREDO;3;4080;4;19;;3;residence sigieri;;;24;;Residence
"VIA SILVA GUGLIELMO num.012 ; (z.d. 8)";VIA;SILVA GUGLIELMO;;6400;8;96;"0;12";4;mini hotel portello;4;"1;2;3;4";202;"0;23;12";Albergo
"VIA SIRACUSA num.005/7 ; (z.d. 1)";VIA;SIRACUSA;;4032;1;48;"6;6;6;4";4;residence bocconi;4;"T;1;2;3";97;"15;31;31;17";Residence
VIA SIRTE N. 9 (z.d. 6);VIA;SIRTE;9;6116;6;94;"7;8;8;8;8;8";3;hotel des etranger s;;"1;2;3;4;5;6";159;"13;14;14;14;14;13";Albergo
VIA SIRTORI GIUSEPPE N. 24 (z.d. 3);VIA;SIRTORI GIUSEPPE;24;2180;3;60;;3;eurohotel;;;101;;
VIA SOPERGA N. 19 (z.d. 2);VIA;SOPERGA;19;2262;2;11;0;1;hotel valley;;;22;0;Albergo
VIA SOPERGA N. 24 (z.d. 2);VIA;SOPERGA;24;2262;2;78;0;3;hotel soperga;;;134;0;
VIA SOTTOCORNO PASQUALE N. 8 (z.d. 4);VIA;SOTTOCORNO PASQUALE;8;3152;4;13;;2;hotel dover;;;24;;Albergo
VIA SPADARI N. 11 (z.d. 1);VIA;SPADARI;11;518;1;40;"7;7;6;6;5;5;4";4;spadari al duomo;7;"1;2;3;4;5;6;7";99;"15;15;14;14;11;9;7";Albergo
VIA SPALLANZANI LAZZARO N. 27 (z.d. 3);VIA;SPALLANZANI LAZZARO;27;2153;3;28;;3;hotel teco;;;80;;
VIA SPALLANZANI LAZZARO N. 40 (z.d. 3);VIA;SPALLANZANI LAZZARO;40;2153;3;207;"24;29;9";4;starhotels ritz;8;"1;2;3;4;5;6;7;8";386;"44;54;18";Albergo
"VIA SPEZIA N. 25 rilascio licenza dallo suap; (z.d. 5)";VIA;SPEZIA;25;5268;5;76;0;4;mini hotel la spezia;;;128;0;Albergo
VIA SPINOLA AMBROGIO N. 9 (z.d. 8);VIA;SPINOLA AMBROGIO;9;6369;8;29;0;3;HOTEL FIERA CONGRESSI;;;53;0;Albergo
VIA SPONTINI GASPARE N. 6 (z.d. 3);VIA;SPONTINI GASPARE;6;2141;3;17;"0;6;6";1;albergo del sole;2;";1;2";40;"0;19;19";Albergo
VIA STAMIRA D'ANCONA N. 27 (z.d. 2);VIA;STAMIRA D'ANCONA;27;2337;2;167;167;4;ramada plaza milano;;;334;334;albergo
VIA STEPHENSON GIORGIO Int. 55;;;;;;256;;4;;;;512;;Albergo
VIA TADINO ALESSANDRO N. 27 (z.d. 3);VIA;TADINO ALESSANDRO;27;2109;3;22;"3;3;8;8";1;hotel nettuno;4;"T;A;1;2";53;"6;6;12;12";Albergo
VIA TARCHETTI IGINIO UGO N. 2 (z.d. 1);VIA;TARCHETTI IGINIO UGO;2;1060;1;282;0;4;jolly touring;;;577;0;Albergo
VIA TAZZOLI ENRICO N. 2 (z.d. 9);VIA;TAZZOLI ENRICO;2;1118;9;160;0;4;hotel ac milano;;;320;0;Albergo
VIA TAZZOLI ENRICO N. 7 (z.d. 9);VIA;TAZZOLI ENRICO;7;1118;9;35;23;4;hotel hua xia milano;;;41;24;Albergo
VIA TENCA CARLO N. 11 (z.d. 2);VIA;TENCA CARLO;11;2118;2;27;0;3;tencaresidence;;;92;0;Residence
VIA TENCA CARLO N. 12 (z.d. 2);VIA;TENCA CARLO;12;2118;2;19;;1;hotel verona;;;25;;Albergo
VIA TENCA CARLO N. 21 (z.d. 2);VIA;TENCA CARLO;21;2118;2;52;0;4;hotel mythos;;;79;0;Albergo
VIA TEODOSIO N. 37 (z.d. 3);VIA;TEODOSIO;37;2550;3;8;0;1;hotel galla;;;15;0;Albergo
VIA TITO LIVIO N. 4 (z.d. 4);VIA;TITO LIVIO;4;4086;4;40;0;3;mec hotel;;;71;0;Albergo
VIA TIZIANO VECELLIO N. 6 (z.d. 8);VIA;TIZIANO VECELLIO;6;6380;8;54;"18;18;18";4;mini hotel tiziano;3;"1;2;3";84;"34;25;25";Albergo
VIA TOFFETTI VINCENZO N. 4 (z.d. 4);VIA;TOFFETTI VINCENZO;4;4188;4;26;"9;9;8";3;hotel mistral;3;"1;2;3";49;"18;18;13";Albergo
VIA TONALE N. 14 (z.d. 2);VIA;TONALE;14;1213;2;28;"3;7";3;hotel demo;;"T;1;2";58;"4;11";Albergo
VIA TONALE N. 2 (z.d. 2);VIA;TONALE;2;1213;2;62;"15;15;15;13;4";3;hotel albert;5;"1;2;3;4;5";102;"26;26;26;19;5";Albergo
VIA TORRAZZA N. 15 (z.d. 8);VIA;TORRAZZA;15;7360;8;15;;2;hotel bonola;;;25;;Albergo
VIA TORRIANI NAPO N. 14 (z.d. 2);VIA;TORRIANI NAPO;14;2126;2;62;"8;12;11;11;9;7;7";3;hotel mennini;7;"1;2;3;4;5;6;7";122;"14;20;19;19;18;12;10";Albergo
VIA TORRIANI NAPO N. 15 (z.d. 2);VIA;TORRIANI NAPO;15;2126;2;59;"8;8;8;8;7;7;7;5;4";3;hotel canova;9;"1;2;3;4;5;6;7;8;9";127;"10;10;10;10;11;11;11;9;8";Albergo
"VIA TORRIANI NAPO N. 17 sportello unico; (z.d. 2)";VIA;TORRIANI NAPO;17;2126;2;16;0;3;dependance hotel berna;;;24;0;Albergo
VIA TORRIANI NAPO N. 18 (z.d. 2);VIA;TORRIANI NAPO;18;2126;2;122;"10;21";4;HOTEL BERNA;6;"R;1;2;3;4;5";197;"13;31;33;32";Albergo
VIA TORRIANI NAPO N. 21 (z.d. 2);VIA;TORRIANI NAPO;21;2126;2;56;"5;11;12;12;11;6";3;hotel garda;;"T;1;2;3;4;5";98;"8;19;19;19;19;9";Albergo
VIA TORRIANI NAPO N. 23 (z.d. 2);VIA;TORRIANI NAPO;23;2126;2;50;"9;9;9;9;9;4";3;flora;6;"1;2;3;4;5;6";83;"15;15;15;15;15;7";Albergo
VIA TORRIANI NAPO N. 24 (z.d. 2);VIA;TORRIANI NAPO;24;2126;2;62;"8;11;10";4;hotel atlantic;6;"1;2;3;4;5;6";91;"13;16;14";Albergo
VIA TORRIANI NAPO N. 27 (z.d. 2);VIA;TORRIANI NAPO;27;2126;2;44;0;3;hotel bernina;;;75;0;Albergo
VIA TORRIANI NAPO N. 28 (z.d. 2);VIA;TORRIANI NAPO;28;2126;2;71;;3;IDEA HOTEL MILANO CENTRALE;;;98;;Albergo
VIA TORRIANI NAPO N. 29 (z.d. 2);VIA;TORRIANI NAPO;29;2126;2;56;"9;7;4;6;3;9;9;9";3;hotel augustus;8;"4;5;6;S;R;1;2;3";93;"15;11;5;10;7;15;15;15";Albergo
VIA TORTONA N. 35 (z.d. 6);VIA;TORTONA;35;5124;6;244;0;4;hotel nhow;;;484;0;Albergo
VIA TRIESTE N. 15 (z.d. 7);VIA;TRIESTE;15;6261;7;10;10;2;my hotel milano;;;12;12;Albergo
VIA TRIVULZIO ANTONIO TOLOMEO N. 8 (z.d. 7);VIA;TRIVULZIO ANTONIO TOLOMEO;8;6277;7;68;0;4;r.t.a. atahotel de angeli;;;192;0;Residence
"VIA UGOLINI GIUSEPPE num.021/3 ; (z.d. 9)";;;;;;8;8;2;hotel greco;;;20;20;Albergo
VIA VALLAZZE N. 14 (z.d. 3);VIA;VALLAZZE;14;2250;3;13;13;1;vallazze;;;22;22;albergo
VIA VALLAZZE N. 39 (z.d. 3);VIA;VALLAZZE;39;2250;3;19;;1;hotel montecarlo;;;32;;Albergo
VIA VALVASSORI PERONI CARLO N. 85 (z.d. 3);VIA;VALVASSORI PERONI CARLO;85;2580;3;58;"8;7";3;hotel gamma;7;"1;2;3;4;5;6;7";99;"14;9";Albergo
VIA VARE' GIOVANNI BATTISTA N. 32 (z.d. 9);VIA;VARE' GIOVANNI BATTISTA;32;1245;9;36;;3;hotel valganna;;;72;;Albergo
VIA VENEZIA GIULIA N. 9 (z.d. 8);VIA;VENEZIA GIULIA;9;7500;8;115;;4;;;;230;;Albergo
VIA VENINI GIULIO E CORRADO N. 59 (z.d. 2);VIA;VENINI GIULIO E CORRADO;59;2258;2;10;10;1;hotel siro;1;1;21;15;Albergo
VIA VIGEVANO N. 13 (z.d. 6);VIA;VIGEVANO;13;5116;6;75;75;3;la darsena;4;;204;204;Residence
VIA VILLAPIZZONE N. 24 (z.d. 8);VIA;VILLAPIZZONE;24;7272;8;250;259;4;radisson blu hotel milan;;;500;518;Albergo
"VIA VISERBA num.018/a ; ()";VIA;VISERBA;;2417;2;47;"15;16;16";3;viserba residence;3;"R;1;2";96;"29;32;32";Residence
VIA VITRUVIO N. 18 (z.d. 3);VIA;VITRUVIO;18;2134;3;19;8;2;hotel salerno;;;39;16;Albergo
VIA VITRUVIO N. 20 (z.d. 3);VIA;VITRUVIO;20;2134;3;17;0;2;hotel eden;2;;32;0;Albergo
VIA VITRUVIO N. 24 (z.d. 3);VIA;VITRUVIO;24;2134;3;17;"4;4;5";2;hotel mondial;3;"T;1;2";29;"6;8;7";Albergo
VIA VITRUVIO N. 28 (z.d. 3);VIA;VITRUVIO;28;2134;3;14;0;2;hotel 2000;;;25;0;Albergo
VIA VITRUVIO N. 29 (z.d. 3);VIA;VITRUVIO;29;2134;3;18;"3;6;6;3";3;hotel mazzini;4;"T;1;2;3";30;"9;10;10;5";Albergo
VIA VITRUVIO N. 43 (z.d. 2);VIA;VITRUVIO;43;2134;2;28;0;3;gonzaga;;;67;0;albergo
VIA VITRUVIO N. 48 (z.d. 3);VIA;VITRUVIO;48;2134;2;83;0;3;hotel amadeus;;;150;0;Albergo
VIA WASHINGTON GIORGIO N. 42 (z.d. 7);VIA;WASHINGTON GIORGIO;42;6111;7;12;"4;4;4";1;villa giovanna;3;"1;2;M";16;"6;6;4";Albergo
VIA WASHINGTON GIORGIO N. 66 (z.d. 7);VIA;WASHINGTON GIORGIO;66;6111;7;323;"52;52;52;52;52;52;11";4;marriot hotel;7;"1;2;3;4;5;6;7";646;"104;104;104;104;104;104;22";Albergo
VIA WATT GIACOMO N. 13 (z.d. 6);VIA;WATT GIACOMO;13;5292;6;87;87;4;idea hotel milano watttredici;;;169;169;Albergo
VLE ABRUZZI N. 67 (z.d. 3);VLE;ABRUZZI;67;2177;3;20;;3;domus;;;36;;Residence
VLE ARGONNE N. 14 (z.d. 4);VLE;ARGONNE;14;3254;4;19;"6;8;2;4";3;albergo susa;4;"2;3;T;1";37;"9;8;8;5";Albergo
VLE BERENGARIO N. 3 (z.d. 8);VLE;BERENGARIO;3;6364;8;27;27;3;hotel campion;3;;51;49;Albergo
VLE BLIGNY N. 23 (z.d. 5);VLE;BLIGNY;23;4045;5;84;"15;15;15;9;9;9;7";4;hotel d este;7;"1;2;3;4;5;6;7";138;"26;26;25;14;14;14;14";Albergo
VLE BLIGNY N. 56 (z.d. 5);VLE;BLIGNY;56;4045;5;58;"8;10;4";4;hotel liberty;6;"1;2;3;4;5;6";106;"18;7";Albergo
VLE BRENTA N. 33 (z.d. 4);VLE;BRENTA;33;4151;4;12;12;;hotel brenta milano;;;23;23;Albergo
VLE CERTOSA N. 108 (z.d. 8);VLE;CERTOSA;108;7174;8;126;"35;34;24;21";4;hotel raffaello;5;"1;2;3;4;5";223;"55;54;43;38;29";Albergo
VLE CERTOSA N. 26 (z.d. 8);VLE;CERTOSA;26;7174;8;25;25;3;hotel certosa;;;50;50;Albergo
VLE CERTOSA N. 68 (z.d. 8);VLE;CERTOSA;68;7174;8;66;0;4;hotel accademia;;;130;0;Albergo
VLE CERTOSA N. 88 (z.d. 8);VLE;CERTOSA;88;7174;8;27;;3;albergo accursio;;;39;;Albergo
VLE DEI MILLE N. 24 (z.d. 3);VLE;DEI MILLE;24;3115;3;11;"3;4;4";1;pensione capri;3;"T;1;2";20;"5;8;4";Albergo
VLE DEI MILLE N. 48 (z.d. 3);VLE;DEI MILLE;48;3115;3;10;0;1;hotel aladin;;;17;0;Albergo
VLE DEI MILLE N. 48 (z.d. 3);VLE;DEI MILLE;48;3115;3;14;;1;doria suisse;4;;20;;Albergo
VLE DEI MILLE N. 48 (z.d. 3);VLE;DEI MILLE;48;3115;3;14;14;1;exellent;;;16;16;Albergo
"VLE DEI MILLE num.060/62 ; (z.d. 3)";VLE;DEI MILLE;;3115;3;22;"4;6;4";3;hotel ideale;3;"R;1;2";40;"5;9;6";Albergo
VLE DORIA ANDREA N. 22 (z.d. 3);VLE;DORIA ANDREA;22;2230;3;124;"12;22;22;22;22;22;22;22;22;22";4;doria grand hotel;10;"1;2;3;4;5;6;7;8;9;0";234;"23;23;23;23;23;23;23;23;23;23";Albergo
VLE DORIA ANDREA N. 4 (z.d. 2);VLE;DORIA ANDREA;4;2230;2;143;;4;starhotels E.C.H.O.;7;;299;;Albergo
VLE ESPINASSE CARLO N. 22 (z.d. 8);VLE;ESPINASSE CARLO;22;7390;8;10;"0;4;4";1;sorrento;;";1;2";20;"0;7;7";Albergo
VLE FAENZA N. 12/13 (z.d. 6);VLE;FAENZA;41609;5350;6;8;;1;HOTEL FAENZA;;;20;;Albergo
VLE FAMAGOSTA N. 48 (z.d. 6);VLE;FAMAGOSTA;48;5353;6;54;"22;22;10";4;green house residence;3;"R;1;3";97;"38;38;21";Residence
VLE FAMAGOSTA N. 50 (z.d. 6);VLE;FAMAGOSTA;50;5353;6;45;0;3;green house;;;92;0;Albergo
VLE ISONZO N. 14 (z.d. 5);VLE;ISONZO;14;4211;5;172;0;4;grand visconti palace;;;388;0;Albergo
VLE ISONZO N. 2 (z.d. 5);VLE;ISONZO;2;4211;5;60;0;4;hotel mayor;8;;120;0;Albergo
VLE LOMBARDIA N. 20 (z.d. 3);VLE;LOMBARDIA;20;2400;3;14;;3;OASI VILLAGE HOTEL;;;25;;Albergo
"VLE LOMBARDIA N. 55 licenza rilasciata dallo sport; (z.d. 3)";VLE;LOMBARDIA;55;2400;3;28;0;3;HOTEL SAN FRANCISCO;;;55;0;Albergo
VLE LOMBARDIA N. 59 (z.d. 3);VLE;LOMBARDIA;59;2400;3;11;0;1;hotel acapulco;;;18;0;Albergo
VLE LOMBARDIA N. 74 (z.d. 3);VLE;LOMBARDIA;74;2400;3;96;;3;albergo lombardia;;;157;;Albergo
VLE MONTE GRAPPA N. 12 (z.d. 9);VLE;MONTE GRAPPA;12;1101;9;65;65;4;maison moschino;;;135;135;Albergo
VLE MONZA N. 120 (z.d. 2);VLE;MONZA;120;2274;2;15;0;3;hotel nuovo metro;;;25;0;Albergo
"VLE MONZA N. 132 ang. via petrocchi n. 1; (z.d. 2)";VLE;MONZA;132;2274;2;120;"27;27;12;12;12;12;12;6";4;hotel concorde;8;"1;2;3;4;5;6;7;8";254;"45;45;30;30;30;30;30;14";Albergo
VLE MONZA N. 139 (z.d. 2);VLE;MONZA;139;2274;2;89;"9;9;9;9;9;9;3";4;residence atahotel linea uno;;"1;2;3;4;5;6;7";254;"20;20;20;20;20;20;6";Residence
VLE MURILLO S.B. N. 22 (z.d. 7);VLE;MURILLO S.B.;22;6551;7;25;"9;10;6";2;murillo;3;"T;1;2";46;"17;17;10";Albergo
VLE MURILLO S.B. N. 9 (z.d. 7);VLE;MURILLO S.B.;9;6551;7;72;;4;astoria;;;120;;Albergo
VLE PAPINIANO N. 14 (z.d. 1);VLE;PAPINIANO;14;5097;1;52;"13;13;13;13";3;hotel sant ambreus;4;"1;2;3;4";84;"21;21;21;21";Albergo
VLE PIAVE N. 42 (z.d. 3);VLE;PIAVE;42;2179;3;105;;4;hotel sheraton diana majestic;;;205;;Albergo
"VLE PIAVE N. 5 2ø piano; (z.d. 1)";VLE;PIAVE;5;2179;1;12;0;2;atena;;;24;0;Albergo
VLE PICENO N. 33 (z.d. 4);VLE;PICENO;33;3114;4;17;17;2;hotel dateo;;;33;33;Albergo
VLE SABOTINO N. 16 (z.d. 5);VLE;SABOTINO;16;4046;5;13;0;2;hotel arco romana;;;25;0;
VLE STURZO DON LUIGI N. 45 (z.d. 9);VLE;STURZO DON LUIGI;45;1704;9;420;70;4;atahotel executive;6;"1;2;3;4;5;6";792;140;Albergo
VLE SUZZANI GIOVANNI N. 13 (z.d. 9);VLE;SUZZANI GIOVANNI;13;1446;9;172;"30;11";4;novotel milano nord;7;"1;2;3;4;5;6;7";344;"60;22";Albergo
"VLE SUZZANI GIOVANNI num.013/15 ; (z.d. 9)";;;;;;131;33;3;hotel ibis milano ca  granda;4;"1;2;3;4";262;66;Albergo
VLE TESTI FULVIO N. 300 (z.d. 9);VLE;TESTI FULVIO;300;1441;9;140;"15;15;15;15;15;9";4;starhotels tourist;;"R;1;2;3;4;5";250;"29;29;29;29;29;9";Albergo
VLE TUNISIA N. 6 (z.d. 3);VLE;TUNISIA;6;2121;3;12;0;1;hotel san tomaso;1;;25;0;Albergo
VLE TUNISIA N. 6 (z.d. 3);VLE;TUNISIA;6;2121;3;13;16;1;hotel kennedy;1;6;23;23;Albergo
VLE TUNISIA N. 9 (z.d. 3);VLE;TUNISIA;9;2121;3;50;"3;6;9;9;9";4;st. george hotel;;"A;1;2;3;4";99;"5;16;26;26;26";Albergo
VLE VITTORIO VENETO N. 30 (z.d. 2);VLE;VITTORIO VENETO;30;2107;2;15;;2;hotel casa mia;;;25;;Albergo
VLE ZARA N. 1 (z.d. 9);VLE;ZARA;1;1170;9;32;;4;casa albergo residence zara lagosta;;;64;;Residence
VLE ZARA N. 89 (z.d. 9);VLE;ZARA;89;1170;9;22;"12;7;4";3;hotel gala;3;"R;1;2";35;"20;12;7";Albergo
