Nome,Tipologia,Numero stelle,Tipo via,Nome via,Civico,Codice via,Municipio,Camere tot,Piani totali,Posti letto tot
HOTEL MERCURE MILANO CENTRO PORTA VENEZI,ALBERGO,3,PZA,OBERDAN GUGLIELMO,12,2108,3,30,4,57
HOTEL MERCURIO,ALBERGO,2,VIA,SFORZA ASCANIO,73,5201,5,15,2,25
HOTEL METRO,ALBERGO,3,CSO,VERCELLI,61,6193,7,40,2,64
HOTEL MICHELANGELO,ALBERGO,4,VIA,SCARLATTI DOMENICO,33,2136,2,305,17,538
HOTEL MIGNON,ALBERGO,1,VIA,SARONNO,5,7202,8,15,4,24
HOTEL MILANO SCALA,ALBERGO,4,VIA,DELL' ORSO,7,123,1,62,5,115
HOTEL MILTON MILANO,ALBERGO,4,VIA,BUTTI ENRICO,9,1292,9,110,6,308
HOTEL MINERVA,ALBERGO,3,CSO,COLOMBO CRISTOFORO,15,5114,6,44,4,67
HOTEL MIRAGE,ALBERGO,4,VIA,CASELLA GIOVANNI BATTISTA,61,7382,8,86,5,132
HOTEL MISTRAL,ALBERGO,3,VIA,TOFFETTI VINCENZO,4,4188,4,26,3,49
HOTEL MOLISE2,ALBERGO,3,VIA,CADIBONA,2,3339,4,30,4,42
HOTEL MONDIAL,ALBERGO,2,VIA,VITRUVIO,24,2134,3,17,3,29
HOTEL MONTECARLO,ALBERGO,1,VIA,VALLAZZE,39,2250,3,19,3,32
HOTEL MOZART,ALBERGO,4,PZA,GERUSALEMME,6,7201,8,119,6,208
HOTEL MYTHOS,ALBERGO,4,VIA,TENCA CARLO,21,2118,2,52,5,79
HOTEL NAPOLEON,ALBERGO,3,VIA,OZANAM FEDERICO,12,2143,3,40,6,68
HOTEL NASCO,ALBERGO,4,CSO,SEMPIONE,69,7137,8,83,6,211
HOTEL NETTUNO,ALBERGO,1,VIA,TADINO ALESSANDRO,27,2109,3,22,4,53
HOTEL NEW MILANO,ALBERGO,1,VIA,LULLI GIOVANNI,18,2253,3,9,3,16
HOTEL NEW YORK,ALBERGO,3,VIA,PIRELLI GIOVANNI BATTISTA,5,1195,2,69,5,132
HOTEL NHOW,ALBERGO,4,VIA,TORTONA,35,5124,6,244,9,484
HOTEL NICOSIA,ALBERGO,1,CSO,VERCELLI,1,6193,7,7,3,15
HOTEL NIZZA,ALBERGO,2,VIA,PORPORA NICOLA ANTONIO,18,2229,3,11,3,23
HOTEL NUOVO,ALBERGO,1,PZA,BECCARIA CESARE,6,306,1,15,3,33
HOTEL NUOVO BISCIONE,ALBERGO,3,VIA,SANTA MARIA FULCORINA,15,630,1,25,4,34
HOTEL NUOVO MARGHERA,ALBERGO,3,VIA,MARGHERA,2,6280,7,50,4,76
HOTEL NUOVO METRO,ALBERGO,3,VLE,MONZA,120,2274,2,15,4,25
HOTEL ORO BLU,ALBERGO,3,PLE,LOTTO LORENZO,14,6539,8,27,4,48
HOTEL PAGANINI,ALBERGO,1,VIA,PAGANINI NICCOLO',6,2238,3,8,3,23
HOTEL PANIZZA,ALBERGO,3,VIA,PANIZZA BARTOLOMEO,5,6208,7,16,4,32
HOTEL PARMA,ALBERGO,2,VIA,PIERO DELLA FRANCESCA,48,7188,8,25,4,40
HOTEL PERUGINO,ALBERGO,3,VIA,PERUGINO,12,3198,4,32,4,54
HOTEL PIACENZA,ALBERGO,3,VIA,PIACENZA,4,4064,5,24,2,34
HOTEL PIOLA,ALBERGO,2,VIA,PESTALOZZA ALESSANDRO,28,2248,3,13,4,25
HOTEL POLIZIANO FIERA,ALBERGO,4,VIA,POLIZIANO,11,7196,8,100,8,204
HOTEL PORTA VENEZIA,ALBERGO,1,VIA,CASTALDI PANFILO,26,2119,3,12,3,20
HOTEL PRINCIPE DI SAVOIA,ALBERGO,-1,PZA,DELLA REPUBBLICA,17,1055,2,313,9,623
HOTEL PRINCIPE EUGENIO,ALBERGO,1,VIA,AOSTA,2,7227,8,15,3,24
HOTEL RAFAEL,ALBERGO,3,VIA,OLGETTINA,60,2530,3,216,8,439
HOTEL RAFFAELLO,ALBERGO,4,VLE,CERTOSA,108,7174,8,126,5,223
HOTEL RALLYE,ALBERGO,2,VIA,MARCELLO BENEDETTO,59,2128,3,16,4,25
HOTEL REGENCY,ALBERGO,4,VIA,ARIMONDI GIUSEPPE,12,7179,8,71,5,125
HOTEL REGINA,ALBERGO,4,VIA,CORRENTI CESARE,13,555,1,43,5,59
HOTEL REX,ALBERGO,3,VIA,MARCO D'AGRATE,35,4276,5,52,7,104
HOTEL RITTER,ALBERGO,3,CSO,GARIBALDI GIUSEPPE,68,1010,1,89,7,172
HOTEL ROMANA RESIDENCE,RESIDENCE,4,CSO,DI PORTA ROMANA,64,402,1,72,6,147
HOTEL ROSSOVINO,ALBERGO,1,VIA,BARTOLOZZI FRANCESCO,9,3267,4,7,3,12
HOTEL RUBENS,ALBERGO,4,VIA,RUBENS PIETRO,21,6597,7,87,5,150
HOTEL SALERNO,ALBERGO,2,VIA,VITRUVIO,18,2134,3,19,3,39
HOTEL SALUS,ALBERGO,1,VIA,ROSSI PELLEGRINO,59,1510,9,21,3,36
HOTEL SAN FRANCISCO,ALBERGO,3,VLE,LOMBARDIA,55,2400,3,28,4,55
HOTEL SAN GUIDO,ALBERGO,3,VIA,FARINI CARLO,1,0,8,31,4,47
HOTEL SAN MARCO,ALBERGO,1,VIA,PICCINNI NICOLA,25,2236,3,11,1,24
HOTEL SAN SIRO FIERA,ALBERGO,2,VIA,NOVARA,371,6624,7,18,3,33
HOTEL SAN TOMASO,ALBERGO,1,VLE,TUNISIA,6,2121,3,12,1,25
HOTEL SANPI,ALBERGO,4,VIA,PALAZZI LAZZARO,18,2171,3,79,6,160
HOTEL SANT AMBREUS,ALBERGO,3,VLE,PAPINIANO,14,5097,1,52,4,84
HOTEL SCALA NORD,ALBERGO,3,VIA,FERRUCCI FRANCESCO,10,7150,8,71,8,95
HOTEL SERENA,ALBERGO,3,VIA,BOSCOVICH RUGGERO,59,2131,3,51,5,108
HOTEL SHERATON DIANA MAJESTIC,ALBERGO,4,VLE,PIAVE,42,2179,3,105,6,205
HOTEL SIENA,ALBERGO,2,VIA,CASTALDI PANFILO,17,2119,3,15,1,25
HOTEL SILVER,ALBERGO,4,VIA,LOMBARDI RICCARDO,11,6893,7,75,6,150
HOTEL SIR EDWARD,ALBERGO,4,VIA,MAZZINI GIUSEPPE,4,516,1,38,5,70
HOTEL SIRO,ALBERGO,1,VIA,VENINI GIULIO E CORRADO,59,2258,2,10,1,21
HOTEL SOPERGA,ALBERGO,3,VIA,SOPERGA,24,2262,2,78,5,134
HOTEL STAR,ALBERGO,3,VIA,DEI BOSSI,5,115,1,30,4,48
HOTEL STAZIONE,ALBERGO,2,VIA,PIRELLI GIOVANNI BATTISTA,5,1195,2,10,3,23
HOTEL TECO,ALBERGO,3,VIA,SPALLANZANI LAZZARO,27,2153,3,28,4,80
HOTEL TERMINAL,ALBERGO,3,VIA,PONTE SEVESO,38,1203,2,47,5,95
HOTEL THE BEST,ALBERGO,2,VIA,MARCELLO BENEDETTO,83,2128,3,28,3,56
HOTEL TIRRENO,ALBERGO,1,PZA,ASPROMONTE,18,2246,3,10,3,16
HOTEL TOWN HOUSE 31,ALBERGO,4,VIA,GOLDONI CARLO,31,3183,6,18,4,32
HOTEL TRENTINA,ALBERGO,2,VIA,LIPPI FILIPPINO,50,2196,3,10,3,20
HOTEL TRIESTE,ALBERGO,2,VIA,MARCO POLO,13,1103,9,27,4,62
HOTEL TRIPOLI,ALBERGO,1,PLE,TRIPOLI,3,6130,6,10,3,20
HOTEL VALGANNA,ALBERGO,3,VIA,VARE' GIOVANNI BATTISTA,32,1245,9,36,4,72
HOTEL VALLEY,ALBERGO,1,VIA,SOPERGA,19,2262,2,11,3,22
HOTEL VENEZIA,ALBERGO,1,VIA,JOMMELLI NICCOLO',49,2426,3,10,3,17
HOTEL VERONA,ALBERGO,1,VIA,TENCA CARLO,12,2118,2,19,3,25
HOTEL VIENNA,ALBERGO,3,VIA,ASTOLFO,5,2566,3,23,5,35
HOTEL VIRGILIO,ALBERGO,2,VIA,PIERLUIGI GIOVANNI DA PALESTRINA,30,0,2,45,3,63
HOTEL VITTORIA,ALBERGO,4,VIA,CALVI PIETRO,32,3083,4,40,5,58
HOTEL WAGNER,ALBERGO,4,VIA,BUONARROTI MICHELANGELO,13,6253,7,49,8,93
HOTEL WINDSOR,ALBERGO,4,VIA,GALILEI GALILEO,2,1102,2,103,7,196
HOTEL ZURIGIO,ALBERGO,3,CSO,ITALIA,11,526,1,39,3,70
HOTELA ALBA,ALBERGO,1,VIA,PORPORA NICOLA ANTONIO,132,2229,3,7,3,12
IDEA HOTEL MILANO BICOCCA,ALBERGO,4,VIA,DELLA GIUSTIZIA,10,1410,2,145,7,290
IDEA HOTEL MILANO CENTRALE,ALBERGO,3,VIA,TORRIANI NAPO,28,2126,2,71,5,98
IDEA HOTEL MILANO CORSO GENOVA,ALBERGO,3,VIA,CONCA DEL NAVIGLIO,20,5180,1,105,6,199
IDEA HOTEL MILANO LORENTEGGIO,ALBERGO,4,VIA,LORENTEGGIO,278,0,0,128,7,242
IDEA HOTEL MILANO SAN SIRO,ALBERGO,4,VIA,AIRAGHI GAETANO,125,6330,7,234,9,432
IDEA HOTEL MILANO WATTTREDICI,ALBERGO,4,VIA,WATT GIACOMO,13,5292,6,87,6,169
IL LEONARDO DA VINCI,RESIDENCE,4,VIA,SENIGALLIA,6,1708,9,423,13,922
ISCHIA,ALBERGO,1,VIA,LIPPI FILIPPINO,43,2196,3,7,3,12
JOLIE,ALBERGO,1,VIA,GOLDONI CARLO,31,3183,6,18,4,28
JOLLY HOTEL PRESIDENT,ALBERGO,4,LGO,AUGUSTO,10,315,1,242,8,530
JOLLY TOURING,ALBERGO,4,VIA,TARCHETTI IGINIO UGO,2,1060,1,282,10,577
KLICK HOTEL,ALBERGO,1,VIA,ANTONIO DA RECANATE,2,2215,2,10,3,16
LA CARAVELLA,ALBERGO,2,VIA,HAJECH CAMILLO,18,3091,4,11,3,16
LA DARSENA,RESIDENCE,3,VIA,VIGEVANO,13,5116,6,75,4,204
LE QUERCIE,ALBERGO,2,VIA,JACOPO DELLA QUERCIA,6,6541,7,14,4,24
LEONARDO DA VINCI,ALBERGO,1,PZA,LEONARDO DA VINCI,10,2208,3,13,3,20
LEONARDO DA VINCI,ALBERGO,4,VIA,SENIGALLIA,6,1708,9,298,8,864
LOCANDA GELSOMINA,ALBERGO,2,VIA,PIERO DELLA FRANCESCA,4,7188,8,10,1,25
LORETO,ALBERGO,2,VIA,BAMBAIA,4,2278,2,14,2,25
MAGNA PARS SUITES MILANO,ALBERGO,-1,VIA,FORCELLA VINCENZO,6,5127,6,28,2,60
MAISON MOSCHINO,ALBERGO,4,VLE,MONTE GRAPPA,12,1101,9,65,5,135
MAJORCA,ALBERGO,3,VIA,PELLIZZONE ANDREA,12,3314,3,34,5,53
MARRIOT HOTEL,ALBERGO,4,VIA,WASHINGTON GIORGIO,66,6111,7,323,7,646
MARY HOTEL FIERA,ALBERGO,2,VIA,PRINCIPE EUGENIO,45,7223,8,10,3,25
MEC HOTEL,ALBERGO,3,VIA,TITO LIVIO,4,4086,4,40,4,71
MELIA  MILANO,ALBERGO,5,VIA,MASACCIO,19,6420,8,288,10,487
MERANO,ALBERGO,1,VIA,LAZZARETTO,10,2112,3,11,1,25
MERCURE HOTEL,ALBERGO,4,VIA,ORSEOLO PIETRO,1,5113,6,59,5,101
MIHOTEL,ALBERGO,4,VIA,DEI FONTANILI,26,4224,5,57,5,75
MINI HOTEL AOSTA,ALBERGO,3,PZA,DUCA D'AOSTA,16,1200,2,63,7,110
MINI HOTEL LA SPEZIA,ALBERGO,4,VIA,SPEZIA,25,5268,5,76,6,128
MINI HOTEL PORTELLO,ALBERGO,4,VIA,SILVA GUGLIELMO,12,6400,8,96,4,202
MINI HOTEL TIZIANO,ALBERGO,4,VIA,TIZIANO VECELLIO,6,6380,8,54,3,84
MIRAGE TRE,RESIDENCE,3,VIA,LEPONTINA,8,1147,9,60,3,82
MONTEBIANCO,ALBERGO,4,VIA,MONTE ROSA,90,6388,8,44,3,79
MURILLO,ALBERGO,2,VLE,MURILLO S.B.,22,6551,7,25,3,46
MY HOTEL MILANO,ALBERGO,2,VIA,TRIESTE,15,6261,7,10,3,12
NH MACHIAVELLI,ALBERGO,4,VIA,LAZZARETTO,5,2112,2,103,6,203
NOVOTEL MILANO LINATE AEROPORTO,ALBERGO,4,VIA,MECENATE,121,3323,4,208,8,416
NOVOTEL MILANO NORD,ALBERGO,4,VLE,SUZZANI GIOVANNI,13,1446,9,172,7,344
NUOVO MONOPOLE,ALBERGO,3,VIA,FILZI FABIO,43,1190,2,71,7,125
OASI VILLAGE HOTEL,ALBERGO,3,VLE,LOMBARDIA,20,2400,3,14,4,25
PALAZZO DELLE STELLINE,ALBERGO,3,CSO,MAGENTA,61,604,1,105,6,167
PAOLA,ALBERGO,1,VIA,PORPORA NICOLA ANTONIO,16,2229,3,10,3,24
PARK HYATT MILANO,ALBERGO,5,VIA,GROSSI TOMMASO,1,105,1,106,7,212
PENSIONE ARIS,ALBERGO,1,VIA,CANONICA LUIGI,79,7121,8,12,1,17
PENSIONE CAPRI,ALBERGO,1,VLE,DEI MILLE,24,3115,3,11,3,20
PENSIONE CUBA,ALBERGO,1,VIA,RICORDI GIOVANNI,14,2251,3,9,3,14
PENSIONE EVA,ALBERGO,1,VIA,LAZZARETTO,17,2112,2,9,2,20
PENSIONE FIORELLA,ALBERGO,2,VIA,MARGHERA,14,6280,7,20,1,35
PENSIONE LANTERNA,ALBERGO,1,VIA,ARCHIMEDE,121,3086,4,7,3,16
PENSIONE ORIENTE,ALBERGO,1,VIA,PORPORA NICOLA ANTONIO,52,2229,3,10,3,19
PETIT PALAIS,RESIDENCE,4,VIA,MOLINO DELLE ARMI,1,591,1,17,4,23
PIAN DELLA NAVE,RESIDENCE,3,VIA,LAMBRATE,9,2421,3,67,9,200
PICCOLO HOTEL,ALBERGO,3,VIA,PIERO DELLA FRANCESCA,60,7188,8,31,4,53
QUARK DUE,RESIDENCE,4,VIA,LAMPEDUSA,11,5329,5,106,7,229
R.T.A. ATAHOTEL DE ANGELI,ALBERGO,4,VIA,TRIVULZIO ANTONIO TOLOMEO,8,6277,7,68,5,192
R.T.A. COLA MONTANO,RESIDENCE,2,VIA,COLA MONTANO,29,1139,9,21,4,21
R.T.A. LE GARE,ALBERGO,4,VIA,MACCHI MAURO,49,2133,2,22,6,67
RADISSON BLU HOTEL MILAN,ALBERGO,4,UNKNOWN,UNKNOWN,24,0,0,259,9,518
RADISSON BLU HOTEL MILAN,ALBERGO,4,VIA,VILLAPIZZONE,24,7272,8,250,9,500
RAMADA PLAZA MILANO,ALBERGO,4,VIA,STAMIRA D'ANCONA,27,2337,2,167,7,334
RESIDENCE 2GI,RESIDENCE,2,VIA,AJRAGHI CESARE,30,7276,8,17,3,22
RESIDENCE ATAHOTEL LINEA UNO,RESIDENCE,4,VLE,MONZA,139,2274,2,89,7,254
RESIDENCE ATAHOTEL THE BIG,RESIDENCE,4,VIA,DE CRISTOFORIS CARLO,6,1120,9,125,10,245
RESIDENCE BIANCA CROCE,RESIDENCE,3,VIA,PALADINI ETTORE,7,3236,3,63,9,115
RESIDENCE BOCCONI,RESIDENCE,4,VIA,SIRACUSA,5,4032,1,48,4,97
RESIDENCE BONNET,RESIDENCE,2,VIA,BONNET NINO,6,1109,0,19,5,45
RESIDENCE BORGONUOVO,RESIDENCE,4,VIA,BORGONUOVO,1,139,1,16,4,32
RESIDENCE CERVA,RESIDENCE,3,VIA,CERVA,16,314,1,7,4,7
RESIDENCE CIMAROSA,RESIDENCE,3,VIA,CIMAROSA DOMENICO,19,6291,7,23,4,27
RESIDENCE COLONNA,RESIDENCE,3,VIA,COLONNA VITTORIA,48,6284,7,13,3,26
RESIDENCE DESENZANO,RESIDENCE,3,VIA,DESENZANO,12,6610,7,60,6,115
RESIDENCE DI CORSO ITALIA,RESIDENCE,4,CSO,ITALIA,34,526,1,41,5,81
RESIDENCE DONATELLO,RESIDENCE,4,VIA,DONATELLO,10,2214,3,10,2,20
RESIDENCE FUTURA,RESIDENCE,4,VIA,MONTESSORI MARIA,14,3361,4,56,6,133
RESIDENCE GIAMBELLINO DI LAURA FIAMBERTI,RESIDENCE,2,VIA,GIAMBELLINO,9,5136,6,9,3,18
RESIDENCE INTERNATIONAL,RESIDENCE,4,VIA,MODENA GUSTAVO,4,3122,3,37,7,59
RESIDENCE L M5,RESIDENCE,3,VIA,MURATORI LODOVICO,5,4076,4,24,4,48
RESIDENCE LE CORTI,RESIDENCE,2,PZA,BUONARROTI MICHELANGELO,31,6252,7,23,4,24
RESIDENCE LORETO,RESIDENCE,3,VIA,RANCATI ILARIONE,3,2321,2,45,5,80
RESIDENCE MISSORI,RESIDENCE,4,VIA,ALBRICCI ALBERICO,4,337,1,73,9,158
RESIDENCE OSOPPO,RESIDENCE,4,VIA,FRASSINETTI ROMEO,2,6563,7,25,5,77
RESIDENCE POLA,RESIDENCE,4,VIA,POLA,4,1156,2,39,5,52
RESIDENCE PORTELLO,RESIDENCE,3,VIA,GHIBERTI LORENZO,1,6542,7,16,4,32
RESIDENCE SIGIERI,RESIDENCE,3,VIA,SIGIERI GOFFREDO,3,4080,4,19,4,24
RESIDENCE SILOE,RESIDENCE,4,VIA,CESARI ANTONIO,19,1603,9,89,7,199
RESIDENCE VIP S,RESIDENCE,4,VIA,PANTANO,8,334,1,38,5,99
RESIDENCEMIGNONCASE TRE,RESIDENCE,3,VIA,MELLONI MACEDONIO,17,3085,4,16,4,26
RESIDENZA CHIARALBA,RESIDENCE,3,VIA,POMPONAZZI PIETRO,3,5246,5,7,4,14
RESIDENZA DELLE CITTA,RESIDENCE,4,VIA,MACCHI MAURO,79,2133,2,31,5,93
RIO,ALBERGO,3,VIA,MAZZINI GIUSEPPE,8,516,1,42,6,61
ROYAL,ALBERGO,3,VIA,GOLDONI CARLO,84,3183,6,14,4,25
SAN GIOVANNI,ALBERGO,1,VIA,REINA FRANCESCO,18,3255,4,11,3,20
SARA,ALBERGO,2,VIA,SACCHINI ANTONIO GASPARE,17,2252,3,18,3,36
SORRENTO,ALBERGO,1,VLE,ESPINASSE CARLO,22,7390,8,10,3,20
SPADARI AL DUOMO,ALBERGO,4,VIA,SPADARI,11,518,1,40,7,99
ST. GEORGE HOTEL,ALBERGO,4,VLE,TUNISIA,9,2121,3,50,5,99
STARHOTELS ANDERSON,ALBERGO,4,PZA,LUIGI DI SAVOIA,20,2260,2,106,8,212
STARHOTELS BUSINESS PALACE,ALBERGO,4,VIA,GAGGIA PIETRO,3,4187,4,259,9,468
STARHOTELS E.C.H.O.,ALBERGO,4,VLE,DORIA ANDREA,4,2230,2,143,7,299
STARHOTELS RITZ,ALBERGO,4,VIA,SPALLANZANI LAZZARO,40,2153,3,207,8,386
STARHOTELS ROSA GRAND,ALBERGO,4,PZA,FONTANA,3,308,1,327,6,650
STARHOTELS TOURIST,ALBERGO,4,VLE,TESTI FULVIO,300,1441,9,140,6,250
STRAF,ALBERGO,4,VIA,SAN RAFFAELE,3,207,1,64,5,118
STYLE HOTEL,ALBERGO,1,VIA,MERCATO,1,717,1,14,2,25
SUNSET CITY,ALBERGO,3,VIA,COLOMBO GIUSEPPE,14,3201,3,10,4,17
TENCARESIDENCE,RESIDENCE,3,VIA,TENCA CARLO,11,2118,2,27,4,92
THE GRAY,ALBERGO,5,VIA,SAN RAFFAELE,6,207,1,21,5,32
THE HUB,ALBERGO,4,VIA,POLONIA,10,7505,8,162,7,306
THE WESTIN PALACE,ALBERGO,-1,PZA,DELLA REPUBBLICA,20,1055,2,228,10,441
TOWN HOUSE 12,ALBERGO,4,PZA,GERUSALEMME,12,7201,8,15,4,23
TOWN HOUSE GALLERIA,ALBERGO,-1,VIA,PELLICO SILVIO,8,0,1,18,2,25
TRENTO,ALBERGO,1,VIA,DAL POZZO TOSCANELLI PAOLO,4,2516,2,16,3,23
UNA HOTEL CENTURY,ALBERGO,4,VIA,FILZI FABIO,25,1190,2,144,17,288
UNA HOTEL MEDITERRANEO,ALBERGO,4,VIA,MURATORI LODOVICO,14,4076,4,93,6,206
UNA HOTEL SCANDINAVIA,ALBERGO,4,VIA,FAUCHE' GIOVANNI BATTISTA,15,7192,8,153,7,292
UNA HOTEL TOCQ,ALBERGO,4,VIA,DI TOCQUEVILLE ALESSIO,7,1703,9,109,6,272
UPTOWN PALACE,ALBERGO,4,VIA,SANTA SOFIA,10,408,1,158,7,318
VALLAZZE,ALBERGO,1,VIA,VALLAZZE,14,2250,3,13,3,22
VECCHIA MILANO,ALBERGO,3,VIA,BORROMEI,4,632,1,28,2,43
VILLA GIOVANNA,ALBERGO,1,VIA,WASHINGTON GIORGIO,42,6111,7,12,3,16
VILLA MIRA,ALBERGO,1,VIA,SACCHINI ANTONIO GASPARE,19,2252,3,10,3,18
VISERBA RESIDENCE,RESIDENCE,3,VIA,VISERBA,18,2417,0,47,3,96
XXII MARZO,ALBERGO,2,PZA,SANTA MARIA DEL SUFFRAGIO,3,3078,4,15,3,25
ZEFIRO,ALBERGO,4,VIA,GALLINA GIACINTO,12,3105,3,54,5,92
UNKNOWN,ALBERGO,5,CSO,CONCORDIA,1,3116,3,77,6,180
UNKNOWN,ALBERGO,3,PZA,SANT' EUSTORGIO,2,5186,1,22,4,38
UNKNOWN,RESIDENCE,2,VIA,BREMBO,27,4219,5,55,4,99
UNKNOWN,ALBERGO,4,VIA,FELTRE,19,2652,3,38,5,70
UNKNOWN,RESIDENCE,2,VIA,IPPODROMO,8,6492,8,116,5,232
UNKNOWN,ALBERGO,4,VIA,ORSEOLO PIETRO,1,5113,6,59,5,101
UNKNOWN,ALBERGO,4,VIA,SAN TOMASO,8,723,1,11,4,22
UNKNOWN,ALBERGO,4,VIA,STEPHENSON GIORGIO,55,0,0,256,9,512
UNKNOWN,ALBERGO,4,VIA,VENEZIA GIULIA,9,7500,8,115,6,230
