,Ubicazione,Tipo via,Nome via,Civico,Codice via,Municipio,Camere,Camere piano,Stelle,Insegna,Piani totali,Piano piano,Posti letto,Posti letto per piano,Tipo struttura
332,VIA SCIALOIA VITTORIO N. 3 (z.d. 9),VIA,SCIALOIA VITTORIO,3,1086.0,9,60.0,0,3,hotel la residenza,,,100.0,0,Albergo
333,VIA SENATO N. 5 (z.d. 1),VIA,SENATO,5,236.0,1,93.0,0,5,carlton hotel baglioni,,,186.0,0,Albergo
334,VIA SENIGALLIA N. 6 (z.d. 9),VIA,SENIGALLIA,6,1708.0,9,298.0,40;0;40;40;40;63;56;56;28,4,leonardo da vinci,8.0,1;;2;3;4;5;6;7;8,864.0,118;0;118;118;118;130;130;130;64,Albergo
335,VIA SENIGALLIA N. 6 (z.d. 9),VIA,SENIGALLIA,6,1708.0,9,423.0,,4,il leonardo da vinci,,,922.0,,Residence
336,VIA SETTALA LODOVICO N. 56 (z.d. 3),VIA,SETTALA LODOVICO,56,2111.0,3,7.0,1;4;2,1,hotel da xin,3.0,T;1;2,11.0,2;6;3,Albergo
337,VIA SETTALA LODOVICO N. 76 (z.d. 3),VIA,SETTALA LODOVICO,76,2111.0,3,20.0,3;4,2,hotel charly,3.0,T;1;2,34.0,6;8;4,Albergo
338,VIA SFORZA ASCANIO N. 73 (z.d. 5),VIA,SFORZA ASCANIO,73,5201.0,5,15.0,3;12,2,hotel mercurio,2.0,R;1,25.0,6;19,Albergo
339,VIA SFORZA ASCANIO N. 81 (z.d. 5),VIA,SFORZA ASCANIO,81,5201.0,5,15.0,,2,albergo marte,,,25.0,,Albergo
340,VIA SIGIERI GOFFREDO N. 3 (z.d. 4),VIA,SIGIERI GOFFREDO,3,4080.0,4,19.0,,3,residence sigieri,,,24.0,,Residence
341,VIA SILVA GUGLIELMO num.012 ; (z.d. 8),VIA,SILVA GUGLIELMO,12,6400.0,8,96.0,0;12,4,mini hotel portello,4.0,1;2;3;4,202.0,0;23;12,Albergo
342,VIA SIRACUSA num.005/7 ; (z.d. 1),VIA,SIRACUSA,5/7,4032.0,1,48.0,6;6;6;4,4,residence bocconi,4.0,T;1;2;3,97.0,15;31;31;17,Residence
343,VIA SIRTE N. 9 (z.d. 6),VIA,SIRTE,9,6116.0,6,94.0,7;8;8;8;8;8,3,hotel des etranger s,,1;2;3;4;5;6,159.0,13;14;14;14;14;13,Albergo
344,VIA SIRTORI GIUSEPPE N. 24 (z.d. 3),VIA,SIRTORI GIUSEPPE,24,2180.0,3,60.0,,3,eurohotel,,,101.0,,Albergo
345,VIA SOPERGA N. 19 (z.d. 2),VIA,SOPERGA,19,2262.0,2,11.0,0,1,hotel valley,,,22.0,0,Albergo
346,VIA SOPERGA N. 24 (z.d. 2),VIA,SOPERGA,24,2262.0,2,78.0,0,3,hotel soperga,,,134.0,0,Albergo
347,VIA SOTTOCORNO PASQUALE N. 8 (z.d. 4),VIA,SOTTOCORNO PASQUALE,8,3152.0,4,13.0,,2,hotel dover,,,24.0,,Albergo
348,VIA SPADARI N. 11 (z.d. 1),VIA,SPADARI,11,518.0,1,40.0,7;7;6;6;5;5;4,4,spadari al duomo,7.0,1;2;3;4;5;6;7,99.0,15;15;14;14;11;9;7,Albergo
349,VIA SPALLANZANI LAZZARO N. 27 (z.d. 3),VIA,SPALLANZANI LAZZARO,27,2153.0,3,28.0,,3,hotel teco,,,80.0,,Albergo
350,VIA SPALLANZANI LAZZARO N. 40 (z.d. 3),VIA,SPALLANZANI LAZZARO,40,2153.0,3,207.0,24;29;9,4,starhotels ritz,8.0,1;2;3;4;5;6;7;8,386.0,44;54;18,Albergo
351,VIA SPEZIA N. 25 rilascio licenza dallo suap; (z.d. 5),VIA,SPEZIA,25,5268.0,5,76.0,0,4,mini hotel la spezia,,,128.0,0,Albergo
352,VIA SPINOLA AMBROGIO N. 9 (z.d. 8),VIA,SPINOLA AMBROGIO,9,6369.0,8,29.0,0,3,HOTEL FIERA CONGRESSI,,,53.0,0,Albergo
353,VIA SPONTINI GASPARE N. 6 (z.d. 3),VIA,SPONTINI GASPARE,6,2141.0,3,17.0,0;6;6,1,albergo del sole,2.0,;1;2,40.0,0;19;19,Albergo
354,VIA STAMIRA D'ANCONA N. 27 (z.d. 2),VIA,STAMIRA D'ANCONA,27,2337.0,2,167.0,167,4,ramada plaza milano,,,334.0,334,Albergo
355,VIA STEPHENSON GIORGIO Int. 55,VIA,STEPHENSON GIORGIO,55,,,256.0,,4,,,,512.0,,Albergo
356,VIA TADINO ALESSANDRO N. 27 (z.d. 3),VIA,TADINO ALESSANDRO,27,2109.0,3,22.0,3;3;8;8,1,hotel nettuno,4.0,T;A;1;2,53.0,6;6;12;12,Albergo
357,VIA TARCHETTI IGINIO UGO N. 2 (z.d. 1),VIA,TARCHETTI IGINIO UGO,2,1060.0,1,282.0,0,4,jolly touring,,,577.0,0,Albergo
358,VIA TAZZOLI ENRICO N. 2 (z.d. 9),VIA,TAZZOLI ENRICO,2,1118.0,9,160.0,0,4,hotel ac milano,,,320.0,0,Albergo
359,VIA TAZZOLI ENRICO N. 7 (z.d. 9),VIA,TAZZOLI ENRICO,7,1118.0,9,35.0,23,4,hotel hua xia milano,,,41.0,24,Albergo
360,VIA TENCA CARLO N. 11 (z.d. 2),VIA,TENCA CARLO,11,2118.0,2,27.0,0,3,tencaresidence,,,92.0,0,Residence
361,VIA TENCA CARLO N. 12 (z.d. 2),VIA,TENCA CARLO,12,2118.0,2,19.0,,1,hotel verona,,,25.0,,Albergo
362,VIA TENCA CARLO N. 21 (z.d. 2),VIA,TENCA CARLO,21,2118.0,2,52.0,0,4,hotel mythos,,,79.0,0,Albergo
363,VIA TEODOSIO N. 37 (z.d. 3),VIA,TEODOSIO,37,2550.0,3,8.0,0,1,hotel galla,,,15.0,0,Albergo
364,VIA TITO LIVIO N. 4 (z.d. 4),VIA,TITO LIVIO,4,4086.0,4,40.0,0,3,mec hotel,,,71.0,0,Albergo
365,VIA TIZIANO VECELLIO N. 6 (z.d. 8),VIA,TIZIANO VECELLIO,6,6380.0,8,54.0,18;18;18,4,mini hotel tiziano,3.0,1;2;3,84.0,34;25;25,Albergo
366,VIA TOFFETTI VINCENZO N. 4 (z.d. 4),VIA,TOFFETTI VINCENZO,4,4188.0,4,26.0,9;9;8,3,hotel mistral,3.0,1;2;3,49.0,18;18;13,Albergo
367,VIA TONALE N. 14 (z.d. 2),VIA,TONALE,14,1213.0,2,28.0,3;7,3,hotel demo,,T;1;2,58.0,4;11,Albergo
368,VIA TONALE N. 2 (z.d. 2),VIA,TONALE,2,1213.0,2,62.0,15;15;15;13;4,3,hotel albert,5.0,1;2;3;4;5,102.0,26;26;26;19;5,Albergo
369,VIA TORRAZZA N. 15 (z.d. 8),VIA,TORRAZZA,15,7360.0,8,15.0,,2,hotel bonola,,,25.0,,Albergo
370,VIA TORRIANI NAPO N. 14 (z.d. 2),VIA,TORRIANI NAPO,14,2126.0,2,62.0,8;12;11;11;9;7;7,3,hotel mennini,7.0,1;2;3;4;5;6;7,122.0,14;20;19;19;18;12;10,Albergo
371,VIA TORRIANI NAPO N. 15 (z.d. 2),VIA,TORRIANI NAPO,15,2126.0,2,59.0,8;8;8;8;7;7;7;5;4,3,hotel canova,9.0,1;2;3;4;5;6;7;8;9,127.0,10;10;10;10;11;11;11;9;8,Albergo
372,VIA TORRIANI NAPO N. 17 sportello unico; (z.d. 2),VIA,TORRIANI NAPO,17,2126.0,2,16.0,0,3,dependance hotel berna,,,24.0,0,Albergo
373,VIA TORRIANI NAPO N. 18 (z.d. 2),VIA,TORRIANI NAPO,18,2126.0,2,122.0,10;21,4,HOTEL BERNA,6.0,R;1;2;3;4;5,197.0,13;31;33;32,Albergo
374,VIA TORRIANI NAPO N. 21 (z.d. 2),VIA,TORRIANI NAPO,21,2126.0,2,56.0,5;11;12;12;11;6,3,hotel garda,,T;1;2;3;4;5,98.0,8;19;19;19;19;9,Albergo
375,VIA TORRIANI NAPO N. 23 (z.d. 2),VIA,TORRIANI NAPO,23,2126.0,2,50.0,9;9;9;9;9;4,3,flora,6.0,1;2;3;4;5;6,83.0,15;15;15;15;15;7,Albergo
376,VIA TORRIANI NAPO N. 24 (z.d. 2),VIA,TORRIANI NAPO,24,2126.0,2,62.0,8;11;10,4,hotel atlantic,6.0,1;2;3;4;5;6,91.0,13;16;14,Albergo
377,VIA TORRIANI NAPO N. 27 (z.d. 2),VIA,TORRIANI NAPO,27,2126.0,2,44.0,0,3,hotel bernina,,,75.0,0,Albergo
378,VIA TORRIANI NAPO N. 28 (z.d. 2),VIA,TORRIANI NAPO,28,2126.0,2,71.0,,3,IDEA HOTEL MILANO CENTRALE,,,98.0,,Albergo
379,VIA TORRIANI NAPO N. 29 (z.d. 2),VIA,TORRIANI NAPO,29,2126.0,2,56.0,9;7;4;6;3;9;9;9,3,hotel augustus,8.0,4;5;6;S;R;1;2;3,93.0,15;11;5;10;7;15;15;15,Albergo
380,VIA TORTONA N. 35 (z.d. 6),VIA,TORTONA,35,5124.0,6,244.0,0,4,hotel nhow,,,484.0,0,Albergo
381,VIA TRIESTE N. 15 (z.d. 7),VIA,TRIESTE,15,6261.0,7,10.0,10,2,my hotel milano,,,12.0,12,Albergo
382,VIA TRIVULZIO ANTONIO TOLOMEO N. 8 (z.d. 7),VIA,TRIVULZIO ANTONIO TOLOMEO,8,6277.0,7,68.0,0,4,r.t.a. atahotel de angeli,,,192.0,0,Albergo
383,VIA UGOLINI GIUSEPPE num.021/3 ; (z.d. 9),VIA,UGOLINI GIUSEPPE,21/3,,9,8.0,8,2,hotel greco,,,20.0,20,Albergo
384,VIA VALLAZZE N. 14 (z.d. 3),VIA,VALLAZZE,14,2250.0,3,13.0,13,1,vallazze,,,22.0,22,Albergo
385,VIA VALLAZZE N. 39 (z.d. 3),VIA,VALLAZZE,39,2250.0,3,19.0,,1,hotel montecarlo,,,32.0,,Albergo
386,VIA VALVASSORI PERONI CARLO N. 85 (z.d. 3),VIA,VALVASSORI PERONI CARLO,85,2580.0,3,58.0,8;7,3,hotel gamma,7.0,1;2;3;4;5;6;7,99.0,14;9,Albergo
387,VIA VARE' GIOVANNI BATTISTA N. 32 (z.d. 9),VIA,VARE' GIOVANNI BATTISTA,32,1245.0,9,36.0,,3,hotel valganna,,,72.0,,Albergo
388,VIA VENEZIA GIULIA N. 9 (z.d. 8),VIA,VENEZIA GIULIA,9,7500.0,8,115.0,,4,,,,230.0,,Albergo
389,VIA VENINI GIULIO E CORRADO N. 59 (z.d. 2),VIA,VENINI GIULIO E CORRADO,59,2258.0,2,10.0,10,1,hotel siro,1.0,1,21.0,15,Albergo
390,VIA VIGEVANO N. 13 (z.d. 6),VIA,VIGEVANO,13,5116.0,6,75.0,75,3,la darsena,4.0,,204.0,204,Residence
391,VIA VILLAPIZZONE N. 24 (z.d. 8),VIA,VILLAPIZZONE,24,7272.0,8,250.0,259,4,radisson blu hotel milan,,,500.0,518,Albergo
392,VIA VISERBA num.018/a ; (),VIA,VISERBA,18/a,2417.0,2.0,47.0,15;16;16,3,viserba residence,3.0,R;1;2,96.0,29;32;32,Residence
393,VIA VITRUVIO N. 18 (z.d. 3),VIA,VITRUVIO,18,2134.0,3,19.0,8,2,hotel salerno,,,39.0,16,Albergo
394,VIA VITRUVIO N. 20 (z.d. 3),VIA,VITRUVIO,20,2134.0,3,17.0,0,2,hotel eden,2.0,,32.0,0,Albergo
395,VIA VITRUVIO N. 24 (z.d. 3),VIA,VITRUVIO,24,2134.0,3,17.0,4;4;5,2,hotel mondial,3.0,T;1;2,29.0,6;8;7,Albergo
396,VIA VITRUVIO N. 28 (z.d. 3),VIA,VITRUVIO,28,2134.0,3,14.0,0,2,hotel 2000,,,25.0,0,Albergo
397,VIA VITRUVIO N. 29 (z.d. 3),VIA,VITRUVIO,29,2134.0,3,18.0,3;6;6;3,3,hotel mazzini,4.0,T;1;2;3,30.0,9;10;10;5,Albergo
398,VIA VITRUVIO N. 43 (z.d. 2),VIA,VITRUVIO,43,2134.0,2,28.0,0,3,gonzaga,,,67.0,0,Albergo
399,VIA VITRUVIO N. 48 (z.d. 3),VIA,VITRUVIO,48,2134.0,3,83.0,0,3,hotel amadeus,,,150.0,0,Albergo
400,VIA WASHINGTON GIORGIO N. 42 (z.d. 7),VIA,WASHINGTON GIORGIO,42,6111.0,7,12.0,4;4;4,1,villa giovanna,3.0,1;2;M,16.0,6;6;4,Albergo
401,VIA WASHINGTON GIORGIO N. 66 (z.d. 7),VIA,WASHINGTON GIORGIO,66,6111.0,7,323.0,52;52;52;52;52;52;11,4,marriot hotel,7.0,1;2;3;4;5;6;7,646.0,104;104;104;104;104;104;22,Albergo
402,VIA WATT GIACOMO N. 13 (z.d. 6),VIA,WATT GIACOMO,13,5292.0,6,87.0,87,4,idea hotel milano watttredici,,,169.0,169,Albergo
403,VLE ABRUZZI N. 67 (z.d. 3),VLE,ABRUZZI,67,2177.0,3,20.0,,3,domus,,,36.0,,Residence
404,VLE ARGONNE N. 14 (z.d. 4),VLE,ARGONNE,14,3254.0,4,19.0,6;8;2;4,3,albergo susa,4.0,2;3;T;1,37.0,9;8;8;5,Albergo
405,VLE BERENGARIO N. 3 (z.d. 8),VLE,BERENGARIO,3,6364.0,8,27.0,27,3,hotel campion,3.0,,51.0,49,Albergo
406,VLE BLIGNY N. 23 (z.d. 5),VLE,BLIGNY,23,4045.0,5,84.0,15;15;15;9;9;9;7,4,hotel d este,7.0,1;2;3;4;5;6;7,138.0,26;26;25;14;14;14;14,Albergo
407,VLE BLIGNY N. 56 (z.d. 5),VLE,BLIGNY,56,4045.0,5,58.0,8;10;4,4,hotel liberty,6.0,1;2;3;4;5;6,106.0,18;7,Albergo
408,VLE BRENTA N. 33 (z.d. 4),VLE,BRENTA,33,4151.0,4,12.0,12,,hotel brenta milano,,,23.0,23,Albergo
409,VLE CERTOSA N. 108 (z.d. 8),VLE,CERTOSA,108,7174.0,8,126.0,35;34;24;21,4,hotel raffaello,5.0,1;2;3;4;5,223.0,55;54;43;38;29,Albergo
410,VLE CERTOSA N. 26 (z.d. 8),VLE,CERTOSA,26,7174.0,8,25.0,25,3,hotel certosa,,,50.0,50,Albergo
411,VLE CERTOSA N. 68 (z.d. 8),VLE,CERTOSA,68,7174.0,8,66.0,0,4,hotel accademia,,,130.0,0,Albergo
412,VLE CERTOSA N. 88 (z.d. 8),VLE,CERTOSA,88,7174.0,8,27.0,,3,albergo accursio,,,39.0,,Albergo
413,VLE DEI MILLE N. 24 (z.d. 3),VLE,DEI MILLE,24,3115.0,3,11.0,3;4;4,1,pensione capri,3.0,T;1;2,20.0,5;8;4,Albergo
414,VLE DEI MILLE N. 48 (z.d. 3),VLE,DEI MILLE,48,3115.0,3,10.0,0,1,hotel aladin,,,17.0,0,Albergo
415,VLE DEI MILLE N. 48 (z.d. 3),VLE,DEI MILLE,48,3115.0,3,14.0,,1,doria suisse,4.0,,20.0,,Albergo
416,VLE DEI MILLE N. 48 (z.d. 3),VLE,DEI MILLE,48,3115.0,3,14.0,14,1,exellent,,,16.0,16,Albergo
417,VLE DEI MILLE num.060/62 ; (z.d. 3),VLE,DEI MILLE,60/62,3115.0,3,22.0,4;6;4,3,hotel ideale,3.0,R;1;2,40.0,5;9;6,Albergo
418,VLE DORIA ANDREA N. 22 (z.d. 3),VLE,DORIA ANDREA,22,2230.0,3,124.0,12;22;22;22;22;22;22;22;22;22,4,doria grand hotel,10.0,1;2;3;4;5;6;7;8;9;0,234.0,23;23;23;23;23;23;23;23;23;23,Albergo
419,VLE DORIA ANDREA N. 4 (z.d. 2),VLE,DORIA ANDREA,4,2230.0,2,143.0,,4,starhotels E.C.H.O.,7.0,,299.0,,Albergo
420,VLE ESPINASSE CARLO N. 22 (z.d. 8),VLE,ESPINASSE CARLO,22,7390.0,8,10.0,0;4;4,1,sorrento,,;1;2,20.0,0;7;7,Albergo
421,VLE FAENZA N. 12/13 (z.d. 6),VLE,FAENZA,12/13,5350.0,6,8.0,,1,HOTEL FAENZA,,,20.0,,Albergo
422,VLE FAMAGOSTA N. 48 (z.d. 6),VLE,FAMAGOSTA,48,5353.0,6,54.0,22;22;10,4,green house residence,3.0,R;1;3,97.0,38;38;21,Residence
423,VLE FAMAGOSTA N. 50 (z.d. 6),VLE,FAMAGOSTA,50,5353.0,6,45.0,0,3,green house,,,92.0,0,Albergo
424,VLE ISONZO N. 14 (z.d. 5),VLE,ISONZO,14,4211.0,5,172.0,0,4,grand visconti palace,,,388.0,0,Albergo
425,VLE ISONZO N. 2 (z.d. 5),VLE,ISONZO,2,4211.0,5,60.0,0,4,hotel mayor,8.0,,120.0,0,Albergo
426,VLE LOMBARDIA N. 20 (z.d. 3),VLE,LOMBARDIA,20,2400.0,3,14.0,,3,OASI VILLAGE HOTEL,,,25.0,,Albergo
427,VLE LOMBARDIA N. 55 licenza rilasciata dallo sport; (z.d. 3),VLE,LOMBARDIA,55,2400.0,3,28.0,0,3,HOTEL SAN FRANCISCO,,,55.0,0,Albergo
428,VLE LOMBARDIA N. 59 (z.d. 3),VLE,LOMBARDIA,59,2400.0,3,11.0,0,1,hotel acapulco,,,18.0,0,Albergo
429,VLE LOMBARDIA N. 74 (z.d. 3),VLE,LOMBARDIA,74,2400.0,3,96.0,,3,albergo lombardia,,,157.0,,Albergo
430,VLE MONTE GRAPPA N. 12 (z.d. 9),VLE,MONTE GRAPPA,12,1101.0,9,65.0,65,4,maison moschino,,,135.0,135,Albergo
431,VLE MONZA N. 120 (z.d. 2),VLE,MONZA,120,2274.0,2,15.0,0,3,hotel nuovo metro,,,25.0,0,Albergo
432,VLE MONZA N. 132 ang. via petrocchi n. 1; (z.d. 2),VLE,MONZA,132,2274.0,2,120.0,27;27;12;12;12;12;12;6,4,hotel concorde,8.0,1;2;3;4;5;6;7;8,254.0,45;45;30;30;30;30;30;14,Albergo
433,VLE MONZA N. 139 (z.d. 2),VLE,MONZA,139,2274.0,2,89.0,9;9;9;9;9;9;3,4,residence atahotel linea uno,,1;2;3;4;5;6;7,254.0,20;20;20;20;20;20;6,Albergo
434,VLE MURILLO S.B. N. 22 (z.d. 7),VLE,MURILLO S.B.,22,6551.0,7,25.0,9;10;6,2,murillo,3.0,T;1;2,46.0,17;17;10,Albergo
435,VLE MURILLO S.B. N. 9 (z.d. 7),VLE,MURILLO S.B.,9,6551.0,7,72.0,,4,astoria,,,120.0,,Albergo
436,VLE PAPINIANO N. 14 (z.d. 1),VLE,PAPINIANO,14,5097.0,1,52.0,13;13;13;13,3,hotel sant ambreus,4.0,1;2;3;4,84.0,21;21;21;21,Albergo
437,VLE PIAVE N. 42 (z.d. 3),VLE,PIAVE,42,2179.0,3,105.0,,4,hotel sheraton diana majestic,,,205.0,,Albergo
438,VLE PIAVE N. 5 2ø piano; (z.d. 1),VLE,PIAVE,5,2179.0,1,12.0,0,2,atena,,,24.0,0,Albergo
439,VLE PICENO N. 33 (z.d. 4),VLE,PICENO,33,3114.0,4,17.0,17,2,hotel dateo,,,33.0,33,Albergo
440,VLE SABOTINO N. 16 (z.d. 5),VLE,SABOTINO,16,4046.0,5,13.0,0,2,hotel arco romana,,,25.0,0,Albergo
441,VLE STURZO DON LUIGI N. 45 (z.d. 9),VLE,STURZO DON LUIGI,45,1704.0,9,420.0,70,4,atahotel executive,6.0,1;2;3;4;5;6,792.0,140,Albergo
442,VLE SUZZANI GIOVANNI N. 13 (z.d. 9),VLE,SUZZANI GIOVANNI,13,1446.0,9,172.0,30;11,4,novotel milano nord,7.0,1;2;3;4;5;6;7,344.0,60;22,Albergo
443,VLE SUZZANI GIOVANNI num.013/15 ; (z.d. 9),VLE,SUZZANI GIOVANNI,13/15,,9,131.0,33,3,hotel ibis milano ca  granda,4.0,1;2;3;4,262.0,66,Albergo
444,VLE TESTI FULVIO N. 300 (z.d. 9),VLE,TESTI FULVIO,300,1441.0,9,140.0,15;15;15;15;15;9,4,starhotels tourist,,R;1;2;3;4;5,250.0,29;29;29;29;29;9,Albergo
445,VLE TUNISIA N. 6 (z.d. 3),VLE,TUNISIA,6,2121.0,3,12.0,0,1,hotel san tomaso,1.0,,25.0,0,Albergo
446,VLE TUNISIA N. 6 (z.d. 3),VLE,TUNISIA,6,2121.0,3,13.0,16,1,hotel kennedy,1.0,6,23.0,23,Albergo
447,VLE TUNISIA N. 9 (z.d. 3),VLE,TUNISIA,9,2121.0,3,50.0,3;6;9;9;9,4,st. george hotel,,A;1;2;3;4,99.0,5;16;26;26;26,Albergo
448,VLE VITTORIO VENETO N. 30 (z.d. 2),VLE,VITTORIO VENETO,30,2107.0,2,15.0,,2,hotel casa mia,,,25.0,,Albergo
449,VLE ZARA N. 1 (z.d. 9),VLE,ZARA,1,1170.0,9,32.0,,4,casa albergo residence zara lagosta,,,64.0,,Residence
450,VLE ZARA N. 89 (z.d. 9),VLE,ZARA,89,1170.0,9,22.0,12;7;4,3,hotel gala,3.0,R;1;2,35.0,20;12;7,Albergo
