,Insegna,Via,Civico,Codice via,Municipio,Camere tot,Stelle,Piani tot,Posti letto tot,Tipo struttura
0,ARMANI HOTEL MILANO,VIA MANZONI ALESSANDRO,31,230.0,1.0,95.0,5 STELLE LUSSO,,190.0,ALBERGO
1,BIO CITY HOTEL,VIA EDOLO,18,1217.0,2.0,17.0,1,,32.0,ALBERGO
2,GALAXY G SRL,CSO BUENOS AIRES,33,2129.0,3.0,65.0,4,,97.0,ALBERGO
3,HOTEL ADAM,VIA PALMANOVA,153,2390.0,2.0,59.0,,,99.0,ALBERGO
4,HOTEL ADLER,VIA RICORDI GIOVANNI,10,2251.0,3.0,23.0,,,47.0,ALBERGO
5,HOTEL BERNA,VIA TORRIANI NAPO,18,2126.0,2.0,122.0,4,6,197.0,ALBERGO
6,HOTEL BOVISA,VIA BROGLIO EMILIO,28,1246.0,9.0,7.0,2,,9.0,ALBERGO
7,HOTEL BRIVIO,VIA BRIVIO CESARE,33,1502.0,9.0,12.0,2,,21.0,ALBERGO
8,HOTEL CASTELLETTO,VIA ARCHIMEDE,79,3086.0,4.0,14.0,2,1,22.0,ALBERGO
9,HOTEL DORE',VIA PAGANINI NICCOLO',7,2238.0,3.0,18.0,3,,39.0,ALBERGO
10,HOTEL FAENZA,VLE FAENZA,12/13,5350.0,6.0,8.0,1,,20.0,ALBERGO
11,HOTEL FIERA CONGRESSI,VIA SPINOLA AMBROGIO,9,6369.0,8.0,29.0,3,,53.0,ALBERGO
12,HOTEL LA MADONNINA,VIA MAZZINI GIUSEPPE,10,516.0,1.0,14.0,3,,25.0,ALBERGO
13,HOTEL LIDO,VIA GALLI RICCARDO,8,6405.0,8.0,27.0,3,4,36.0,ALBERGO
14,HOTEL MAISON BORELLA,ALZ NAVIGLIO GRANDE,8,5144.0,6.0,14.0,4,,25.0,ALBERGO
15,HOTEL ORO BLU,PLE LOTTO LORENZO,14,6539.0,8.0,27.0,3,,48.0,ALBERGO
16,HOTEL PRINCIPE DI SAVOIA,PZA DELLA REPUBBLICA,17,1055.0,2.0,302.0,5,1,725.0,ALBERGO
17,HOTEL SAN FRANCISCO,VLE LOMBARDIA,55,2400.0,3.0,28.0,3,,55.0,ALBERGO
18,IDEA HOTEL MILANO CENTRALE,VIA TORRIANI NAPO,28,2126.0,2.0,71.0,3,,98.0,ALBERGO
19,IDEA HOTEL MILANO LORENTEGGIO,VIA LORENTEGGIO,278,,,128.0,4,,242.0,ALBERGO
20,KLICK HOTEL,VIA ANTONIO DA RECANATE,2,2215.0,2.0,10.0,1,,16.0,ALBERGO
21,MAGNA PARS SUITES MILANO,VIA FORCELLA VINCENZO,6,5127.0,6.0,28.0,,,60.0,ALBERGO
22,MERCURE HOTEL,VIA ORSEOLO PIETRO,1,5113.0,6.0,59.0,4,,101.0,ALBERGO
23,OASI VILLAGE HOTEL,VLE LOMBARDIA,20,2400.0,3.0,14.0,3,,25.0,ALBERGO
24,STYLE HOTEL,VIA MERCATO,1,717.0,1.0,14.0,1,2,25.0,ALBERGO
25,UPTOWN PALACE,VIA SANTA SOFIA,10,408.0,1.0,158.0,4,,318.0,ALBERGO
26,ACCA PALACE,VIA NICOTERA GIOVANNI,9,1508.0,9.0,41.0,4,1,82.0,RESIDENCE
27,ALBERGO ACCURSIO,VLE CERTOSA,88,7174.0,8.0,27.0,3,,39.0,ALBERGO
28,ALBERGO DEL SOLE,VIA SPONTINI GASPARE,6,2141.0,3.0,17.0,1,2,40.0,ALBERGO
29,ALBERGO FELICE CASATI,VIA CASATI FELICE,18,2122.0,3.0,99.0,4,3,145.0,ALBERGO
30,ALBERGO FENICE,CSO BUENOS AIRES,2,2129.0,3.0,46.0,3,4,98.0,ALBERGO
31,ALBERGO IRIDE,VIA PORPORA NICOLA ANTONIO,170,2229.0,3.0,11.0,2,3,19.0,ALBERGO
32,ALBERGO LA PACE,VIA CATALANI ALFREDO,69,2425.0,3.0,20.0,1,6,33.0,ALBERGO
33,ALBERGO LARIO,VIA LARIO,40,1171.0,9.0,7.0,1,,17.0,ALBERGO
34,ALBERGO LOMBARDIA,VLE LOMBARDIA,74,2400.0,3.0,96.0,3,,157.0,ALBERGO
35,ALBERGO MARTE,VIA SFORZA ASCANIO,81,5201.0,5.0,15.0,2,,25.0,ALBERGO
36,ALBERGO PALLADIO,VIA PALLADIO ANDREA,8,4213.0,5.0,48.0,1,7,82.0,ALBERGO
37,ALBERGO PAVONE,VIA DANDOLO ENRICO,2,3028.0,1.0,24.0,3,,50.0,ALBERGO
38,ALBERGO POERIO,VIA POERIO CARLO,32,3181.0,3.0,13.0,1,4,20.0,ALBERGO
39,ALBERGO SEMPIONE,VIA FINOCCHIARO APRILE,11,2120.0,2.0,49.0,3,3,101.0,ALBERGO
40,ALBERGO SICILIA,VIA BENEFATTORI DELL'OSPEDALE,24,1522.0,9.0,10.0,1,2,19.0,ALBERGO
41,ALBERGO SUSA,VLE ARGONNE,14,3254.0,4.0,19.0,3,4,37.0,ALBERGO
42,AMALFI,VIA QUARNERO,4,6263.0,7.0,11.0,1,3,24.0,ALBERGO
43,AMBROSIANA,VIA PLINIO CAIO SECONDO,22,2144.0,3.0,16.0,1,,22.0,ALBERGO
44,AMBROSIANA,VIA PLINIO CAIO SECONDO,22,2144.0,3.0,14.0,1,,22.0,ALBERGO
45,ANDREOLA,VIA SCARLATTI DOMENICO,24,2136.0,2.0,78.0,4,5,155.0,ALBERGO
46,ANTICA LOCANDA LEONARDO,CSO MAGENTA,78,604.0,1.0,16.0,3,1,35.0,ALBERGO
47,ANTICA LOCANDA SOLFERINO,VIA CASTELFIDARDO,2,1043.0,1.0,11.0,2,,21.0,ALBERGO
48,APOLLO,VIA RIPAMONTI GIUSEPPE,102,4066.0,5.0,18.0,2,,40.0,ALBERGO
49,ARNO,VIA LAZZARETTO,17,2112.0,2.0,10.0,1,1,16.0,ALBERGO
50,ART HOTEL NAVIGLI,VIA FUMAGALLI ANGELO CARLO,4,5149.0,6.0,103.0,4,5,205.0,ALBERGO
51,ASCOT,VIA LENTASIO,3,410.0,1.0,64.0,4,5,99.0,ALBERGO
52,ASTORIA,VLE MURILLO S.B.,9,6551.0,7.0,72.0,4,,120.0,ALBERGO
53,ASTRID,VIA LULLI GIOVANNI,22,2253.0,3.0,11.0,2,2,23.0,ALBERGO
54,ATAHOTEL EXECUTIVE,VLE STURZO DON LUIGI,45,1704.0,9.0,420.0,4,6,792.0,ALBERGO
55,ATAHOTEL QUARK,VIA LAMPEDUSA,11,5329.0,5.0,328.0,4,,736.0,ALBERGO
56,ATENA,VLE PIAVE,5,2179.0,1.0,12.0,2,,24.0,ALBERGO
57,AURIGA,VIA PIRELLI GIOVANNI BATTISTA,7,1195.0,2.0,52.0,4,,91.0,ALBERGO
58,BOSCOLO HOTEL EXEDRA,CSO MATTEOTTI GIACOMO,4/6,218.0,1.0,154.0,l,1,308.0,ALBERGO
59,BOSTON,VIA LEPETIT ROBERTO,7,2096.0,2.0,25.0,1,4,41.0,ALBERGO
60,BRASIL,VIA MODENA GUSTAVO,20,3122.0,3.0,17.0,1,,25.0,ALBERGO
61,BULGARI HOTELS  E  RESORTS MILANO,VIA F.LLI GABBA,7,146.0,1.0,59.0,,,118.0,ALBERGO
62,CALIPSO,VIA GAFFURIO FRANCHINO,1,2138.0,3.0,19.0,1,,32.0,ALBERGO
63,CAMPERIO HOUSE HOTEL  E  RESIDENCE,VIA GIULINI GIORGIO,6,613.0,1.0,10.0,4,,20.0,ALBERGO
64,CARLTON HOTEL BAGLIONI,VIA SENATO,5,236.0,1.0,93.0,5,,186.0,ALBERGO
65,CARLYLE BRERA HOTEL,CSO GARIBALDI GIUSEPPE,84,1010.0,1.0,98.0,4,7,203.0,ALBERGO
66,CASA ALBERGO RESIDENCE ZARA LAGOSTA,VLE ZARA,1,1170.0,9.0,32.0,4,,64.0,RESIDENCE
67,CENTRO ALBERGHIERO ORNATO,VIA ORNATO LUIGI,64,1591.0,9.0,144.0,3,2,252.0,ALBERGO
68,CLASS,VIA CORNALIA EMILIO,7,1182.0,9.0,26.0,2,3,52.0,RESIDENCE
69,COLOMBIA,VIA LEPETIT ROBERTO,15,2096.0,2.0,48.0,4,6,81.0,ALBERGO
70,CONTESSA JOLANDA- ATTIVITÀ PROMISCUA 133 APPARTAMENTI (266 POSTI LETTO) E 9 CAMERE ALBERGO PER 18 POSTI LETTO PER UN TOTALE DI 284 POSTI LETTO,VIA MURAT GIOACCHINO,21,1316.0,9.0,133.0,4,8,266.0,RESIDENCE
71,CORVETTO RESIDENCE PORTO DI MARE,VIA OSIMO AUGUSTO,10,4303.0,4.0,64.0,4,,200.0,RESIDENCE
72,CRISTOFORO COLOMBO,CSO BUENOS AIRES,3,2129.0,3.0,116.0,4,4,191.0,ALBERGO
73,CROWNE PLAZA MILAN CITY,VIA GIOIA MELCHIORRE,73,1108.0,2.0,109.0,4,,218.0,ALBERGO
74,DEPENDANCE HOTEL BERNA,VIA TORRIANI NAPO,17,2126.0,2.0,16.0,3,,24.0,ALBERGO
75,DOMUS,VLE ABRUZZI,67,2177.0,3.0,20.0,3,,36.0,RESIDENCE
76,DORIA GRAND HOTEL,VLE DORIA ANDREA,22,2230.0,3.0,124.0,4,10,234.0,ALBERGO
77,DORIA SUISSE,VLE DEI MILLE,48,3115.0,3.0,14.0,1,4,20.0,ALBERGO
78,DOUBLE TREE BY HILTON MILAN,VIA LUDOVICO DI BREME,77,7396.0,8.0,240.0,4,,480.0,ALBERGO
79,DUCA DI MILANO,PZA DELLA REPUBBLICA,13,1055.0,2.0,99.0,I,10,189.0,ALBERGO
80,ENTERPRISE HOTEL,CSO SEMPIONE,91,,8.0,113.0,4,,216.0,ALBERGO
81,EUROHOTEL,VIA SIRTORI GIUSEPPE,24,2180.0,3.0,60.0,3,,101.0,ALBERGO
82,EXELLENT,VLE DEI MILLE,48,3115.0,3.0,14.0,1,1,16.0,ALBERGO
83,FERRARI,CSO VERCELLI,55,6193.0,7.0,14.0,1,3,25.0,ALBERGO
84,FLORA,VIA TORRIANI NAPO,23,2126.0,2.0,50.0,3,6,83.0,ALBERGO
85,FLORIDA,VIA LEPETIT ROBERTO,33,2096.0,2.0,57.0,3,5,98.0,ALBERGO
86,FOUR SEASON HOTEL MILAN,VIA GESU',10,227.0,1.0,118.0,5,4,240.0,ALBERGO
87,GIANNI,VIA CARCANO FILIPPO,47,6389.0,7.0,8.0,1,2,10.0,ALBERGO
88,GIUSTI 6,VIA GIUSTI GIUSEPPE,6,7127.0,1.0,72.0,3,7,169.0,RESIDENCE
89,GONZAGA,VIA VITRUVIO,43,2134.0,2.0,28.0,3,,67.0,ALBERGO
90,GRAN DUCA DI YORK,VIA MONETA,1/a,570.0,1.0,33.0,3,,60.0,ALBERGO
91,GRAND HOTEL DUOMO,PZA DEL DUOMO,25,1.0,1.0,161.0,4,7,244.0,ALBERGO
92,GRAND HOTEL ET DE MILAN,VIA MANZONI ALESSANDRO,29,230.0,1.0,102.0,5 STELLE LUSSO,5,158.0,ALBERGO
93,GRAND HOTEL VERDI,VIA GIOIA MELCHIORRE,6,1108.0,9.0,99.0,4,,198.0,ALBERGO
94,GRAND VISCONTI PALACE,VLE ISONZO,14,4211.0,5.0,172.0,4,,388.0,ALBERGO
95,GREEN HOUSE,VLE FAMAGOSTA,50,5353.0,6.0,45.0,3,,92.0,ALBERGO
96,GREEN HOUSE RESIDENCE,VLE FAMAGOSTA,48,5353.0,6.0,54.0,4,3,97.0,RESIDENCE
97,HILTON MILAN,VIA GALVANI LUIGI,12,1179.0,2.0,320.0,4,8,469.0,ALBERGO
98,HOLIDAY INN MILAN GARIBALDI STATION,VIA BASSI UGO,1/a,1143.0,9.0,134.0,4,5,272.0,ALBERGO
99,HOTEL   LEONARDO,VIA CARCANO FILIPPO,37,6389.0,7.0,12.0,1,,22.0,ALBERGO
100,"HOTEL ""LA VIGNETTA""",VIA CUSTODI PIETRO,2,5199.0,5.0,31.0,1,,56.0,ALBERGO
101,HOTEL 2000,VIA VITRUVIO,28,2134.0,3.0,14.0,2,,25.0,ALBERGO
102,HOTEL AC MILANO,VIA TAZZOLI ENRICO,2,1118.0,9.0,160.0,4,,320.0,ALBERGO
103,HOTEL ACAPULCO,VLE LOMBARDIA,59,2400.0,3.0,11.0,1,,18.0,ALBERGO
104,HOTEL ACCADEMIA,VLE CERTOSA,68,7174.0,8.0,66.0,4,,130.0,ALBERGO
105,HOTEL ADA,VIA SAMMARTINI GIOVANNI BATTISTA,15,1202.0,2.0,18.0,2,1,25.0,ALBERGO
106,HOTEL ADELCHI LAMBRATE,VIA INGEGNOLI FRANCESCO,20,2559.0,3.0,16.0,1,,25.0,ALBERGO
107,HOTEL ADLER,VIA RICORDI GIOVANNI,10,2251.0,3.0,23.0,3,5,43.0,ALBERGO
108,HOTEL ADMIRAL,VIA DOMODOSSOLA,16,7152.0,8.0,60.0,4,6,102.0,ALBERGO
109,HOTEL AGAPE,VIA FLUMENDOSA,35,2522.0,2.0,43.0,3,5,75.0,ALBERGO
110,HOTEL ALADIN,VLE DEI MILLE,48,3115.0,3.0,10.0,1,,17.0,ALBERGO
111,HOTEL ALBERT,VIA TONALE,2,1213.0,2.0,62.0,3,5,102.0,ALBERGO
112,HOTEL ALESSANDER,VIA CORTINA D'AMPEZZO,17,4259.0,5.0,13.0,2,,23.0,ALBERGO
113,HOTEL ALGA,VIA DEL MARE,93,5318.0,5.0,87.0,3,,159.0,ALBERGO
114,HOTEL AMADEUS,VIA VITRUVIO,48,2134.0,3.0,83.0,3,,150.0,ALBERGO
115,HOTEL AMBASCIATORI,GLL DEL CORSO,3,305.0,1.0,87.0,4,7,150.0,ALBERGO
116,HOTEL AMBRA,VIA CACCIANINO ANTONIO,10,2419.0,3.0,8.0,1,1,18.0,ALBERGO
117,HOTEL AMENDOLA FIERA,VIA CARCANO FILIPPO,39,6389.0,7.0,11.0,1,1,23.0,ALBERGO
118,HOTEL AMERICA,CSO VENTIDUE MARZO,32,3074.0,4.0,9.0,1,,18.0,ALBERGO
119,HOTEL ARCO ROMANA,VLE SABOTINO,16,4046.0,5.0,13.0,2,,25.0,ALBERGO
120,HOTEL ARES,VIA PORRO EDOARDO,8,1226.0,9.0,13.0,3,1,21.0,ALBERGO
121,HOTEL ARIOSTO,VIA ARIOSTO LODOVICO,22,6184.0,1.0,48.0,3,5,96.0,ALBERGO
122,HOTEL ARISTON,LGO CARROBBIO,2,542.0,1.0,52.0,3,6,95.0,ALBERGO
123,HOTEL ARIZONA,VIA BRESSANONE,4/a,7425.0,8.0,80.0,4,5,120.0,ALBERGO
124,HOTEL ASPROMONTE,PZA ASPROMONTE,12/14,2246.0,3.0,19.0,3,3,31.0,ALBERGO
125,HOTEL ATLANTIC,VIA TORRIANI NAPO,24,2126.0,2.0,62.0,4,6,91.0,ALBERGO
126,HOTEL AUGUSTUS,VIA TORRIANI NAPO,29,2126.0,2.0,56.0,3,8,93.0,ALBERGO
127,HOTEL AURORA,CSO BUENOS AIRES,18,2129.0,3.0,16.0,1,1,25.0,ALBERGO
128,HOTEL AUTOSOLE 2,VIA PALMIERI NICOLA,64,5323.0,5.0,23.0,3,1,46.0,ALBERGO
129,HOTEL BAGLIORI,VIA BOSCOVICH RUGGERO,43,2131.0,3.0,14.0,3,,19.0,ALBERGO
130,HOTEL BAVIERA,VIA CASTALDI PANFILO,7,2119.0,2.0,52.0,4,4,92.0,ALBERGO
131,HOTEL BEL SIT,VIA GALLARATE,2,7420.0,8.0,17.0,2,,25.0,ALBERGO
132,HOTEL BERNINA,VIA TORRIANI NAPO,27,2126.0,2.0,44.0,3,,75.0,ALBERGO
133,HOTEL BOGART 2,VIA AOSTA,2,7227.0,8.0,15.0,3,,25.0,ALBERGO
134,HOTEL BOLZANO,VIA BOSCOVICH RUGGERO,21,2131.0,2.0,35.0,3,4,68.0,ALBERGO
135,HOTEL BONAPARTE,VIA CUSANI,13,719.0,1.0,92.0,4,,234.0,ALBERGO
136,HOTEL BONOLA,VIA TORRAZZA,15,7360.0,8.0,15.0,2,,25.0,ALBERGO
137,HOTEL BRENTA MILANO,VLE BRENTA,33,4151.0,4.0,12.0,,1,23.0,ALBERGO
138,HOTEL BRIANZA,VIA CASTALDI PANFILO,16,2119.0,3.0,25.0,3,2,36.0,ALBERGO
139,HOTEL BRISTOL,VIA SCARLATTI DOMENICO,32,2136.0,2.0,68.0,4,,116.0,ALBERGO
140,HOTEL BRUNELLESCHI,VIA BARACCHINI FLAVIO,12,356.0,1.0,177.0,4,,259.0,ALBERGO
141,HOTEL BUENOS AIRES,CSO BUENOS AIRES,26,2129.0,3.0,25.0,3,,39.0,ALBERGO
142,HOTEL CA  GRANDE,VIA PORPORA NICOLA ANTONIO,87,2229.0,3.0,18.0,1,,21.0,ALBERGO
143,HOTEL CAMPION,VLE BERENGARIO,3,6364.0,8.0,27.0,3,3,51.0,ALBERGO
144,HOTEL CANADA,VIA SANTA SOFIA,16,408.0,1.0,35.0,3,,78.0,ALBERGO
145,HOTEL CANOVA,VIA TORRIANI NAPO,15,2126.0,2.0,59.0,3,9,127.0,ALBERGO
146,HOTEL CAPITOL MILLENNIUM,VIA CIMAROSA DOMENICO,6,6291.0,7.0,66.0,4,,111.0,ALBERGO
147,HOTEL CASA MIA,VLE VITTORIO VENETO,30,2107.0,2.0,15.0,2,,25.0,ALBERGO
148,HOTEL CATALANI E MADRID,VIA CATALANI ALFREDO,71,2425.0,3.0,20.0,2,4,38.0,ALBERGO
149,HOTEL CAVOUR,VIA FATEBENEFRATELLI,21,144.0,1.0,121.0,4,5,224.0,ALBERGO
150,HOTEL CENTRAL STATION,VIA SAMMARTINI GIOVANNI BATTISTA,15,1202.0,2.0,17.0,1,1,25.0,ALBERGO
151,HOTEL CENTRO,VIA BROLETTO,46,720.0,1.0,54.0,3,5,94.0,ALBERGO
152,HOTEL CERTOSA,VLE CERTOSA,26,7174.0,8.0,25.0,3,1,50.0,ALBERGO
153,HOTEL CERVO,PLE PRINCIPESSA CLOTILDE,10,1061.0,9.0,57.0,3,,79.0,ALBERGO
154,HOTEL CHARLY,VIA SETTALA LODOVICO,76,2111.0,3.0,20.0,2,3,34.0,ALBERGO
155,HOTEL CHOPIN,VIA PORPORA NICOLA ANTONIO,143,2229.0,3.0,10.0,1,,21.0,ALBERGO
156,HOTEL CINQUE GIORNATE,PZA CINQUE GIORNATE,6,3053.0,1.0,22.0,2,,48.0,ALBERGO
157,HOTEL CITTA  STUDI,VIA SALDINI CESARE,24,3206.0,3.0,45.0,3,,79.0,ALBERGO
158,HOTEL CITY,GLL BUENOS AIRES,5,2146.0,3.0,60.0,4,7,100.0,ALBERGO
159,HOTEL CLUB,VIA COPERNICO NICOLO',18/20,1204.0,2.0,53.0,3,6,73.0,ALBERGO
160,HOTEL CONCORDE,VLE MONZA,132,2274.0,2.0,120.0,4,8,254.0,ALBERGO
161,HOTEL CONVERTINI,VIA SAN MAMETE,12,2413.0,2.0,13.0,1,1,28.0,ALBERGO
162,HOTEL CORALLO,VIA CESENA,20,7226.0,8.0,35.0,3,,48.0,ALBERGO
163,HOTEL CORVETTO,PLE CORVETTO LUIGI EMANUELE,5,4174.0,4.0,15.0,1,3,25.0,ALBERGO
164,HOTEL CRISTALLO,VIA SCARLATTI DOMENICO,22,2136.0,3.0,104.0,3,,223.0,ALBERGO
165,HOTEL CÀ BIANCA CORTE DEL NAVIGLIO,VIA LODOVICO IL MORO,117,5290.0,6.0,51.0,4,,102.0,ALBERGO
166,HOTEL D ESTE,VLE BLIGNY,23,4045.0,5.0,84.0,4,7,138.0,ALBERGO
167,HOTEL DA XIN,VIA SETTALA LODOVICO,56,2111.0,3.0,7.0,1,3,11.0,ALBERGO
168,HOTEL DATEO,VLE PICENO,33,3114.0,4.0,17.0,2,1,33.0,ALBERGO
169,HOTEL DE ALBERTIS,VIA DE ALBERTIS SEBASTIANO,7,3138.0,3.0,11.0,2,,18.0,ALBERGO
170,HOTEL DE LA VILLE,VIA HOEPLI ULRICO,6,190.0,1.0,109.0,4,,208.0,ALBERGO
171,HOTEL DEI CAVALIERI,PZA MISSORI GIUSEPPE,1,525.0,1.0,167.0,4,9,305.0,ALBERGO
172,HOTEL DEI FIORI,VIA RENZO E LUCIA,14,5412.0,5.0,53.0,3,3,108.0,ALBERGO
173,HOTEL DEL CORSO,VIA PECCHIO GIUSEPPE,2,2240.0,3.0,26.0,4,,45.0,ALBERGO
174,HOTEL DEL SUD,CSO LODI,74,4068.0,4.0,27.0,1,,46.0,ALBERGO
175,HOTEL DELIZIA,VIA ARCHIMEDE,86/88,3086.0,4.0,14.0,2,2,25.0,ALBERGO
176,HOTEL DELLE NAZIONI,VIA CAPPELLINI ALFREDO,18,2130.0,2.0,81.0,3,5,163.0,ALBERGO
177,HOTEL DEMIDOFF,VIA PLINIO CAIO SECONDO,2,2144.0,3.0,43.0,3,5,65.0,ALBERGO
178,HOTEL DEMO,VIA TONALE,14,1213.0,2.0,28.0,3,3,58.0,ALBERGO
179,HOTEL DES ETRANGER S,VIA SIRTE,9,6116.0,6.0,94.0,3,6,159.0,ALBERGO
180,HOTEL DI PORTA ROMANA,VIA PAPI LAZZARO,18,4071.0,4.0,36.0,3,5,67.0,ALBERGO
181,HOTEL DIECI,LGO RIO DE JANEIRO,12,3174.0,3.0,29.0,4,,41.0,ALBERGO
182,HOTEL DOMENICHINO,VIA DOMENICHINO,41,6383.0,7.0,64.0,3,5,110.0,ALBERGO
183,HOTEL DOVER,VIA SOTTOCORNO PASQUALE,8,3152.0,4.0,13.0,2,,24.0,ALBERGO
184,HOTEL DUE GIARDINI,VIA MARCELLO BENEDETTO,47,2128.0,3.0,10.0,2,,21.0,ALBERGO
185,HOTEL EDEN,VIA VITRUVIO,20,2134.0,3.0,17.0,2,2,32.0,ALBERGO
186,HOTEL EDY,VIA DELLE FORZE ARMATE,8,6643.0,7.0,12.0,1,1,25.0,ALBERGO
187,HOTEL EL DIABLO,CSO VENTIDUE MARZO,43,3074.0,4.0,9.0,1,,15.0,ALBERGO
188,HOTEL EMMY,VIA FRA' GALGARIO,4,6607.0,7.0,10.0,1,,20.0,ALBERGO
189,HOTEL ETRUSCO,VIA PORPORA NICOLA ANTONIO,56,2229.0,3.0,18.0,3,4,21.0,ALBERGO
190,HOTEL EUROPEO,VIA CANONICA LUIGI,38,7121.0,1.0,45.0,3,5,70.0,ALBERGO
191,HOTEL EXECELSIOR GALLIA,PZA DUCA D'AOSTA,9,1200.0,2.0,243.0,l,8,448.0,ALBERGO
192,HOTEL FIVE,CSO LODI,4,4068.0,5.0,21.0,,1,43.0,ALBERGO
193,HOTEL FLORENCE,PZA ASPROMONTE,22,2246.0,3.0,29.0,3,3,56.0,ALBERGO
194,HOTEL FOUR POINTS SHERATON MILAN CENTRE,VIA CARDANO GEROLAMO,1,1187.0,9.0,254.0,4,,465.0,ALBERGO
195,HOTEL GALA,VLE ZARA,89,1170.0,9.0,22.0,3,3,35.0,ALBERGO
196,HOTEL GALILEO,CSO EUROPA,9,300.0,1.0,89.0,4,7,159.0,ALBERGO
197,HOTEL GALLA,VIA TEODOSIO,37,2550.0,3.0,8.0,1,,15.0,ALBERGO
198,HOTEL GALLES,PZA LIMA,2,2135.0,3.0,198.0,4,,395.0,ALBERGO
199,HOTEL GAMBARA,VIA FRA' GALGARIO,4,6607.0,7.0,12.0,1,1,24.0,ALBERGO
200,HOTEL GAMMA,VIA VALVASSORI PERONI CARLO,85,2580.0,3.0,58.0,3,7,99.0,ALBERGO
201,HOTEL GARDA,VIA TORRIANI NAPO,21,2126.0,2.0,56.0,3,6,98.0,ALBERGO
202,HOTEL GARDEN,VIA RUTILIA,6,4229.0,5.0,23.0,2,2,48.0,ALBERGO
203,HOTEL GENIUS DOWN TOWN,VIA PORLEZZA,4,611.0,1.0,36.0,3,,60.0,ALBERGO
204,HOTEL GIARDINO,VIA DEI MISSAGLIA,14,5340.0,5.0,19.0,3,,24.0,ALBERGO
205,HOTEL GIULIO CESARE,VIA ROVELLO,10,722.0,1.0,24.0,3,,34.0,ALBERGO
206,HOTEL GRAN SASSO,VIA LIPPI FILIPPINO,28,2196.0,3.0,22.0,2,,39.0,ALBERGO
207,HOTEL GRECO,VIA UGOLINI GIUSEPPE,21/3,,9.0,8.0,2,1,20.0,ALBERGO
208,HOTEL GRITTI,PZA SANTA MARIA BELTRADE,4,514.0,1.0,48.0,3,,78.0,ALBERGO
209,HOTEL HERMITAGE,VIA MESSINA,10,7211.0,8.0,131.0,4,,262.0,ALBERGO
210,HOTEL HUA XIA MILANO,VIA TAZZOLI ENRICO,7,1118.0,9.0,35.0,4,1,41.0,ALBERGO
211,HOTEL IBIS MILANO CA  GRANDA,VLE SUZZANI GIOVANNI,13/15,,9.0,131.0,3,4,262.0,ALBERGO
212,HOTEL IBIS MILANO CENTRO,VIA FINOCCHIARO APRILE,2,2120.0,2.0,439.0,3,,636.0,ALBERGO
213,HOTEL IDEALE,VLE DEI MILLE,60/62,3115.0,3.0,22.0,3,3,40.0,ALBERGO
214,HOTEL JOHNNY,VIA PRATI GIOVANNI,6,7149.0,8.0,31.0,3,4,69.0,ALBERGO
215,HOTEL KENNEDY,VLE TUNISIA,6,2121.0,3.0,13.0,1,1,23.0,ALBERGO
216,HOTEL KING,CSO MAGENTA,19,,1.0,48.0,4,6,96.0,ALBERGO
217,HOTEL LA RESIDENZA,VIA SCIALOIA VITTORIO,3,1086.0,9.0,60.0,3,,100.0,ALBERGO
218,HOTEL LANCASTER,VIA SANGIORGIO ABBONDIO,16,7138.0,1.0,30.0,3,,65.0,ALBERGO
219,HOTEL LIBERTY,VLE BLIGNY,56,4045.0,5.0,58.0,4,6,106.0,ALBERGO
220,HOTEL LIGURIA,VIA RIPAMONTI GIUSEPPE,134,4066.0,5.0,28.0,2,,51.0,ALBERGO
221,HOTEL LLOYD,CSO DI PORTA ROMANA,48,402.0,1.0,56.0,4,,100.0,ALBERGO
222,HOTEL LONDON,VIA ROVELLO,3,722.0,1.0,29.0,2,3,49.0,ALBERGO
223,HOTEL LORIS,VIA LULLI GIOVANNI,11,2253.0,3.0,22.0,1,,25.0,ALBERGO
